NACA 2409-64	
1.00000	0.00000
0.96828	0.00740
0.93650	0.01357
0.90473	0.01940
0.87303	0.02487
0.84142	0.02999
0.80993	0.03475
0.77861	0.03914
0.74749	0.04318
0.71661	0.04685
0.68599	0.05016
0.65567	0.05311
0.62569	0.05572
0.59609	0.05798
0.56688	0.05990
0.53811	0.06150
0.50981	0.06278
0.48201	0.06376
0.45474	0.06445
0.42802	0.06485
0.40190	0.06500
0.37625	0.06486
0.35123	0.06440
0.32690	0.06366
0.30327	0.06266
0.28037	0.06142
0.25823	0.05997
0.23688	0.05832
0.21632	0.05650
0.19659	0.05453
0.17771	0.05241
0.15969	0.05018
0.14256	0.04784
0.12633	0.04540
0.11103	0.04288
0.09665	0.04029
0.08323	0.03763
0.07077	0.03492
0.05929	0.03216
0.04880	0.02936
0.03931	0.02653
0.03082	0.02366
0.02335	0.02077
0.01691	0.01785
0.01150	0.01491
0.00712	0.01196
0.00378	0.00899
0.00148	0.00600
0.00022	0.00301
0.00000	0.00000
0.00081	-0.00291
0.00263	-0.00559
0.00546	-0.00807
0.00930	-0.01033
0.01414	-0.01239
0.01997	-0.01425
0.02679	-0.01591
0.03459	-0.01739
0.04336	-0.01869
0.05309	-0.01982
0.06377	-0.02080
0.07539	-0.02164
0.08794	-0.02235
0.10141	-0.02293
0.11578	-0.02342
0.13103	-0.02380
0.14715	-0.02411
0.16413	-0.02435
0.18195	-0.02453
0.20058	-0.02467
0.22002	-0.02477
0.24023	-0.02484
0.26121	-0.02489
0.28293	-0.02492
0.30537	-0.02495
0.32850	-0.02497
0.35231	-0.02499
0.37677	-0.02500
0.40188	-0.02500
0.42774	-0.02494
0.45420	-0.02478
0.48121	-0.02450
0.50875	-0.02411
0.53681	-0.02360
0.56535	-0.02297
0.59435	-0.02221
0.62377	-0.02133
0.65360	-0.02032
0.68379	-0.01918
0.71434	-0.01790
0.74520	-0.01650
0.77634	-0.01497
0.80775	-0.01332
0.83938	-0.01154
0.87122	-0.00964
0.90322	-0.00762
0.93536	-0.00549
0.96761	-0.00324
1.00000	0.00000
