NACA 0006-64	
1.00000	0.00000
0.96795	0.00356
0.93593	0.00636
0.90398	0.00902
0.87212	0.01152
0.84040	0.01386
0.80884	0.01604
0.77748	0.01806
0.74635	0.01991
0.71547	0.02160
0.68489	0.02312
0.65463	0.02449
0.62473	0.02569
0.59522	0.02674
0.56612	0.02763
0.53746	0.02837
0.50928	0.02897
0.48161	0.02942
0.45447	0.02974
0.42788	0.02993
0.40189	0.03000
0.37651	0.02995
0.35177	0.02980
0.32770	0.02955
0.30432	0.02921
0.28165	0.02879
0.25972	0.02830
0.23855	0.02774
0.21817	0.02712
0.19859	0.02643
0.17983	0.02569
0.16191	0.02489
0.14486	0.02403
0.12868	0.02312
0.11340	0.02216
0.09903	0.02113
0.08559	0.02005
0.07308	0.01892
0.06153	0.01772
0.05094	0.01646
0.04133	0.01513
0.03271	0.01374
0.02507	0.01228
0.01844	0.01075
0.01282	0.00914
0.00821	0.00747
0.00462	0.00571
0.00205	0.00389
0.00051	0.00198
0.00000	0.00000
0.00051	-0.00198
0.00205	-0.00389
0.00462	-0.00571
0.00821	-0.00747
0.01282	-0.00914
0.01844	-0.01075
0.02507	-0.01228
0.03271	-0.01374
0.04133	-0.01513
0.05094	-0.01646
0.06153	-0.01772
0.07308	-0.01892
0.08559	-0.02005
0.09903	-0.02113
0.11340	-0.02216
0.12868	-0.02312
0.14486	-0.02403
0.16191	-0.02489
0.17983	-0.02569
0.19859	-0.02643
0.21817	-0.02712
0.23855	-0.02774
0.25972	-0.02830
0.28165	-0.02879
0.30432	-0.02921
0.32770	-0.02955
0.35177	-0.02980
0.37651	-0.02995
0.40189	-0.03000
0.42788	-0.02993
0.45447	-0.02974
0.48161	-0.02942
0.50928	-0.02897
0.53746	-0.02837
0.56612	-0.02763
0.59522	-0.02674
0.62473	-0.02569
0.65463	-0.02449
0.68489	-0.02312
0.71547	-0.02160
0.74635	-0.01991
0.77748	-0.01806
0.80884	-0.01604
0.84040	-0.01386
0.87212	-0.01152
0.90398	-0.00902
0.93593	-0.00636
0.96795	-0.00356
1.00000	0.00000
