NACA 0009-64	
1.00000	0.00000
0.96795	0.00533
0.93593	0.00955
0.90398	0.01353
0.87212	0.01728
0.84040	0.02079
0.80884	0.02406
0.77748	0.02708
0.74635	0.02986
0.71547	0.03240
0.68489	0.03468
0.65463	0.03673
0.62473	0.03854
0.59522	0.04011
0.56612	0.04145
0.53746	0.04256
0.50928	0.04345
0.48161	0.04413
0.45447	0.04461
0.42788	0.04490
0.40189	0.04500
0.37651	0.04493
0.35177	0.04470
0.32770	0.04432
0.30432	0.04382
0.28165	0.04319
0.25972	0.04245
0.23855	0.04161
0.21817	0.04068
0.19859	0.03965
0.17983	0.03853
0.16191	0.03733
0.14486	0.03605
0.12868	0.03468
0.11340	0.03323
0.09903	0.03170
0.08559	0.03008
0.07308	0.02837
0.06153	0.02658
0.05094	0.02469
0.04133	0.02270
0.03271	0.02061
0.02507	0.01842
0.01844	0.01612
0.01282	0.01372
0.00821	0.01120
0.00462	0.00857
0.00205	0.00583
0.00051	0.00297
0.00000	0.00000
0.00051	-0.00297
0.00205	-0.00583
0.00462	-0.00857
0.00821	-0.01120
0.01282	-0.01372
0.01844	-0.01612
0.02507	-0.01842
0.03271	-0.02061
0.04133	-0.02270
0.05094	-0.02469
0.06153	-0.02658
0.07308	-0.02837
0.08559	-0.03008
0.09903	-0.03170
0.11340	-0.03323
0.12868	-0.03468
0.14486	-0.03605
0.16191	-0.03733
0.17983	-0.03853
0.19859	-0.03965
0.21817	-0.04068
0.23855	-0.04161
0.25972	-0.04245
0.28165	-0.04319
0.30432	-0.04382
0.32770	-0.04432
0.35177	-0.04470
0.37651	-0.04493
0.40189	-0.04500
0.42788	-0.04490
0.45447	-0.04461
0.48161	-0.04413
0.50928	-0.04345
0.53746	-0.04256
0.56612	-0.04145
0.59522	-0.04011
0.62473	-0.03854
0.65463	-0.03673
0.68489	-0.03468
0.71547	-0.03240
0.74635	-0.02986
0.77748	-0.02708
0.80884	-0.02406
0.84040	-0.02079
0.87212	-0.01728
0.90398	-0.01353
0.93593	-0.00955
0.96795	-0.00533
1.00000	0.00000
