NACA 2406-64	
1.00000	0.00000
0.96817	0.00563
0.93631	0.01040
0.90448	0.01490
0.87273	0.01912
0.84108	0.02307
0.80957	0.02674
0.77824	0.03012
0.74711	0.03323
0.71623	0.03605
0.68562	0.03860
0.65533	0.04088
0.62537	0.04288
0.59580	0.04461
0.56663	0.04609
0.53789	0.04732
0.50963	0.04830
0.48187	0.04905
0.45465	0.04958
0.42798	0.04989
0.40190	0.05000
0.37633	0.04988
0.35141	0.04951
0.32717	0.04889
0.30362	0.04806
0.28080	0.04703
0.25873	0.04583
0.23744	0.04446
0.21694	0.04296
0.19726	0.04133
0.17842	0.03959
0.16043	0.03776
0.14333	0.03585
0.12712	0.03387
0.11182	0.03183
0.09745	0.02975
0.08402	0.02764
0.07154	0.02549
0.06004	0.02333
0.04951	0.02116
0.03998	0.01899
0.03145	0.01682
0.02393	0.01465
0.01742	0.01250
0.01194	0.01036
0.00748	0.00824
0.00406	0.00615
0.00167	0.00407
0.00032	0.00202
0.00000	0.00000
0.00071	-0.00192
0.00244	-0.00366
0.00518	-0.00523
0.00894	-0.00662
0.01370	-0.00784
0.01946	-0.00890
0.02622	-0.00980
0.03396	-0.01054
0.04268	-0.01115
0.05237	-0.01162
0.06303	-0.01197
0.07462	-0.01221
0.08716	-0.01235
0.10062	-0.01240
0.11498	-0.01237
0.13025	-0.01227
0.14639	-0.01212
0.16339	-0.01193
0.18124	-0.01171
0.19992	-0.01147
0.21940	-0.01122
0.23967	-0.01098
0.26071	-0.01075
0.28250	-0.01053
0.30502	-0.01035
0.32823	-0.01020
0.35213	-0.01009
0.37669	-0.01002
0.40188	-0.01000
0.42779	-0.00998
0.45429	-0.00991
0.48134	-0.00979
0.50893	-0.00963
0.53703	-0.00942
0.56561	-0.00916
0.59464	-0.00885
0.62409	-0.00849
0.65394	-0.00808
0.68416	-0.00762
0.71472	-0.00711
0.74558	-0.00656
0.77672	-0.00596
0.80811	-0.00531
0.83972	-0.00462
0.87152	-0.00389
0.90347	-0.00312
0.93555	-0.00231
0.96772	-0.00147
1.00000	0.00000
