NACA 0012-64	
1.00000	0.00000
0.96795	0.00711
0.93593	0.01273
0.90398	0.01804
0.87212	0.02304
0.84040	0.02772
0.80884	0.03208
0.77748	0.03611
0.74635	0.03982
0.71547	0.04319
0.68489	0.04625
0.65463	0.04897
0.62473	0.05138
0.59522	0.05348
0.56612	0.05526
0.53746	0.05674
0.50928	0.05794
0.48161	0.05885
0.45447	0.05948
0.42788	0.05986
0.40189	0.06000
0.37651	0.05990
0.35177	0.05960
0.32770	0.05910
0.30432	0.05842
0.28165	0.05759
0.25972	0.05661
0.23855	0.05549
0.21817	0.05424
0.19859	0.05286
0.17983	0.05138
0.16191	0.04978
0.14486	0.04806
0.12868	0.04624
0.11340	0.04431
0.09903	0.04227
0.08559	0.04011
0.07308	0.03783
0.06153	0.03544
0.05094	0.03291
0.04133	0.03026
0.03271	0.02748
0.02507	0.02456
0.01844	0.02149
0.01282	0.01829
0.00821	0.01493
0.00462	0.01143
0.00205	0.00777
0.00051	0.00396
0.00000	0.00000
0.00051	-0.00396
0.00205	-0.00777
0.00462	-0.01143
0.00821	-0.01493
0.01282	-0.01829
0.01844	-0.02149
0.02507	-0.02456
0.03271	-0.02748
0.04133	-0.03026
0.05094	-0.03291
0.06153	-0.03544
0.07308	-0.03783
0.08559	-0.04011
0.09903	-0.04227
0.11340	-0.04431
0.12868	-0.04624
0.14486	-0.04806
0.16191	-0.04978
0.17983	-0.05138
0.19859	-0.05286
0.21817	-0.05424
0.23855	-0.05549
0.25972	-0.05661
0.28165	-0.05759
0.30432	-0.05842
0.32770	-0.05910
0.35177	-0.05960
0.37651	-0.05990
0.40189	-0.06000
0.42788	-0.05986
0.45447	-0.05948
0.48161	-0.05885
0.50928	-0.05794
0.53746	-0.05674
0.56612	-0.05526
0.59522	-0.05348
0.62473	-0.05138
0.65463	-0.04897
0.68489	-0.04625
0.71547	-0.04319
0.74635	-0.03982
0.77748	-0.03611
0.80884	-0.03208
0.84040	-0.02772
0.87212	-0.02304
0.90398	-0.01804
0.93593	-0.01273
0.96795	-0.00711
1.00000	0.00000
