NACA 0005-64	
1.00000	0.00000
0.96795	0.00296
0.93593	0.00530
0.90398	0.00752
0.87212	0.00960
0.84040	0.01155
0.80884	0.01337
0.77748	0.01505
0.74635	0.01659
0.71547	0.01800
0.68489	0.01927
0.65463	0.02041
0.62473	0.02141
0.59522	0.02228
0.56612	0.02303
0.53746	0.02364
0.50928	0.02414
0.48161	0.02452
0.45447	0.02479
0.42788	0.02494
0.40189	0.02500
0.37651	0.02496
0.35177	0.02483
0.32770	0.02462
0.30432	0.02434
0.28165	0.02400
0.25972	0.02359
0.23855	0.02312
0.21817	0.02260
0.19859	0.02203
0.17983	0.02141
0.16191	0.02074
0.14486	0.02003
0.12868	0.01927
0.11340	0.01846
0.09903	0.01761
0.08559	0.01671
0.07308	0.01576
0.06153	0.01476
0.05094	0.01371
0.04133	0.01261
0.03271	0.01145
0.02507	0.01023
0.01844	0.00896
0.01282	0.00762
0.00821	0.00622
0.00462	0.00476
0.00205	0.00324
0.00051	0.00165
0.00000	0.00000
0.00051	-0.00165
0.00205	-0.00324
0.00462	-0.00476
0.00821	-0.00622
0.01282	-0.00762
0.01844	-0.00896
0.02507	-0.01023
0.03271	-0.01145
0.04133	-0.01261
0.05094	-0.01371
0.06153	-0.01476
0.07308	-0.01576
0.08559	-0.01671
0.09903	-0.01761
0.11340	-0.01846
0.12868	-0.01927
0.14486	-0.02003
0.16191	-0.02074
0.17983	-0.02141
0.19859	-0.02203
0.21817	-0.02260
0.23855	-0.02312
0.25972	-0.02359
0.28165	-0.02400
0.30432	-0.02434
0.32770	-0.02462
0.35177	-0.02483
0.37651	-0.02496
0.40189	-0.02500
0.42788	-0.02494
0.45447	-0.02479
0.48161	-0.02452
0.50928	-0.02414
0.53746	-0.02364
0.56612	-0.02303
0.59522	-0.02228
0.62473	-0.02141
0.65463	-0.02041
0.68489	-0.01927
0.71547	-0.01800
0.74635	-0.01659
0.77748	-0.01505
0.80884	-0.01337
0.84040	-0.01155
0.87212	-0.00960
0.90398	-0.00752
0.93593	-0.00530
0.96795	-0.00296
1.00000	0.00000
