NACA 2405-64	
1.00000	0.00000
0.96814	0.00504
0.93625	0.00934
0.90440	0.01339
0.87263	0.01720
0.84096	0.02076
0.80945	0.02407
0.77811	0.02712
0.74698	0.02991
0.71610	0.03246
0.68550	0.03475
0.65521	0.03680
0.62527	0.03860
0.59570	0.04016
0.56654	0.04149
0.53782	0.04259
0.50958	0.04347
0.48183	0.04415
0.45462	0.04462
0.42796	0.04490
0.40189	0.04500
0.37636	0.04489
0.35147	0.04454
0.32725	0.04397
0.30374	0.04319
0.28094	0.04223
0.25890	0.04111
0.23762	0.03984
0.21714	0.03844
0.19748	0.03693
0.17865	0.03532
0.16068	0.03362
0.14358	0.03185
0.12738	0.03002
0.11208	0.02815
0.09771	0.02624
0.08428	0.02430
0.07180	0.02235
0.06029	0.02039
0.04975	0.01843
0.04021	0.01648
0.03166	0.01454
0.02412	0.01262
0.01759	0.01072
0.01208	0.00885
0.00760	0.00700
0.00415	0.00520
0.00173	0.00343
0.00035	0.00169
0.00000	0.00000
0.00068	-0.00159
0.00238	-0.00302
0.00509	-0.00428
0.00882	-0.00538
0.01355	-0.00632
0.01929	-0.00711
0.02603	-0.00776
0.03375	-0.00826
0.04246	-0.00864
0.05214	-0.00889
0.06278	-0.00903
0.07437	-0.00907
0.08690	-0.00902
0.10035	-0.00888
0.11472	-0.00868
0.12999	-0.00843
0.14613	-0.00812
0.16314	-0.00779
0.18100	-0.00743
0.19969	-0.00707
0.21919	-0.00671
0.23949	-0.00636
0.26055	-0.00603
0.28236	-0.00574
0.30490	-0.00548
0.32814	-0.00527
0.35207	-0.00512
0.37666	-0.00503
0.40188	-0.00500
0.42781	-0.00499
0.45432	-0.00495
0.48139	-0.00489
0.50899	-0.00480
0.53710	-0.00469
0.56569	-0.00455
0.59473	-0.00439
0.62420	-0.00421
0.65406	-0.00400
0.68428	-0.00377
0.71484	-0.00352
0.74571	-0.00324
0.77685	-0.00295
0.80823	-0.00264
0.83984	-0.00231
0.87162	-0.00197
0.90356	-0.00162
0.93561	-0.00125
0.96776	-0.00088
1.00000	0.00000
