NACA 23012-64	
1.00000	0.00000
0.96811	0.00782
0.93621	0.01414
0.90438	0.02016
0.87263	0.02586
0.84101	0.03124
0.80955	0.03629
0.77828	0.04102
0.74722	0.04541
0.71643	0.04947
0.68591	0.05319
0.65572	0.05659
0.62587	0.05966
0.59640	0.06240
0.56734	0.06483
0.53871	0.06694
0.51056	0.06876
0.48291	0.07028
0.45578	0.07152
0.42921	0.07248
0.40321	0.07319
0.37783	0.07366
0.35309	0.07390
0.32900	0.07393
0.30561	0.07377
0.28292	0.07344
0.26097	0.07294
0.23978	0.07229
0.21937	0.07149
0.19975	0.07055
0.18075	0.06945
0.16236	0.06810
0.14464	0.06644
0.12769	0.06440
0.11157	0.06197
0.09636	0.05913
0.08211	0.05590
0.06889	0.05230
0.05674	0.04838
0.04571	0.04420
0.03582	0.03979
0.02711	0.03525
0.01959	0.03061
0.01326	0.02595
0.00813	0.02133
0.00420	0.01678
0.00143	0.01235
-0.00017	0.00807
-0.00064	0.00395
0.00000	0.00000
0.00166	-0.00363
0.00428	-0.00683
0.00781	-0.00960
0.01222	-0.01199
0.01750	-0.01403
0.02362	-0.01577
0.03056	-0.01726
0.03830	-0.01856
0.04684	-0.01972
0.05618	-0.02079
0.06632	-0.02184
0.07728	-0.02289
0.08906	-0.02401
0.10170	-0.02523
0.11523	-0.02658
0.12967	-0.02806
0.14507	-0.02969
0.16147	-0.03144
0.17890	-0.03329
0.19743	-0.03515
0.21697	-0.03696
0.23733	-0.03866
0.25847	-0.04024
0.28038	-0.04171
0.30303	-0.04305
0.32639	-0.04424
0.35046	-0.04527
0.37519	-0.04612
0.40056	-0.04678
0.42656	-0.04722
0.45315	-0.04742
0.48031	-0.04738
0.50800	-0.04708
0.53621	-0.04652
0.56490	-0.04566
0.59404	-0.04452
0.62360	-0.04308
0.65355	-0.04134
0.68387	-0.03928
0.71452	-0.03690
0.74547	-0.03420
0.77668	-0.03119
0.80813	-0.02785
0.83979	-0.02419
0.87161	-0.02021
0.90358	-0.01592
0.93565	-0.01131
0.96779	-0.00640
1.00000	0.00000
