NACA 23006-64	
1.00000	0.00000
0.96803	0.00426
0.93607	0.00778
0.90418	0.01114
0.87238	0.01434
0.84071	0.01738
0.80920	0.02026
0.77788	0.02296
0.74678	0.02550
0.71595	0.02788
0.68540	0.03008
0.65518	0.03211
0.62530	0.03397
0.59581	0.03567
0.56673	0.03721
0.53809	0.03858
0.50992	0.03980
0.48226	0.04086
0.45512	0.04178
0.42854	0.04256
0.40255	0.04320
0.37717	0.04371
0.35243	0.04411
0.32835	0.04439
0.30496	0.04457
0.28229	0.04465
0.26035	0.04464
0.23917	0.04455
0.21877	0.04438
0.19917	0.04412
0.18029	0.04377
0.16213	0.04322
0.14475	0.04241
0.12819	0.04129
0.11249	0.03984
0.09770	0.03804
0.08385	0.03592
0.07099	0.03350
0.05914	0.03083
0.04833	0.02795
0.03858	0.02492
0.02991	0.02179
0.02233	0.01864
0.01585	0.01552
0.01048	0.01249
0.00620	0.00959
0.00303	0.00686
0.00094	0.00434
-0.00006	0.00205
0.00000	0.00000
0.00109	-0.00174
0.00317	-0.00310
0.00621	-0.00411
0.01022	-0.00479
0.01516	-0.00519
0.02103	-0.00534
0.02781	-0.00529
0.03550	-0.00511
0.04409	-0.00484
0.05356	-0.00455
0.06393	-0.00428
0.07518	-0.00409
0.08732	-0.00403
0.10037	-0.00414
0.11431	-0.00444
0.12918	-0.00494
0.14496	-0.00566
0.16169	-0.00656
0.17937	-0.00760
0.19801	-0.00873
0.21757	-0.00985
0.23794	-0.01092
0.25910	-0.01195
0.28101	-0.01292
0.30367	-0.01384
0.32705	-0.01470
0.35111	-0.01548
0.37585	-0.01618
0.40123	-0.01678
0.42722	-0.01729
0.45381	-0.01769
0.48096	-0.01797
0.50864	-0.01812
0.53684	-0.01815
0.56551	-0.01804
0.59463	-0.01779
0.62417	-0.01740
0.65409	-0.01685
0.68438	-0.01616
0.71500	-0.01531
0.74591	-0.01430
0.77708	-0.01314
0.80849	-0.01181
0.84009	-0.01033
0.87187	-0.00869
0.90378	-0.00690
0.93579	-0.00495
0.96787	-0.00285
1.00000	0.00000
