NACA 23010-64	
1.00000	0.00000
0.96808	0.00663
0.93616	0.01202
0.90431	0.01715
0.87255	0.02202
0.84091	0.02662
0.80943	0.03095
0.77814	0.03500
0.74708	0.03877
0.71627	0.04227
0.68574	0.04549
0.65554	0.04843
0.62568	0.05110
0.59620	0.05349
0.56713	0.05562
0.53851	0.05749
0.51035	0.05910
0.48269	0.06047
0.45556	0.06161
0.42898	0.06251
0.40299	0.06320
0.37761	0.06368
0.35287	0.06397
0.32879	0.06408
0.30539	0.06404
0.28271	0.06384
0.26076	0.06351
0.23957	0.06304
0.21917	0.06245
0.19955	0.06174
0.18060	0.06089
0.16228	0.05981
0.14468	0.05843
0.12786	0.05670
0.11188	0.05459
0.09680	0.05210
0.08269	0.04924
0.06959	0.04604
0.05754	0.04253
0.04658	0.03878
0.03674	0.03483
0.02804	0.03076
0.02050	0.02662
0.01413	0.02248
0.00891	0.01838
0.00486	0.01438
0.00197	0.01052
0.00020	0.00683
-0.00044	0.00332
0.00000	0.00000
0.00147	-0.00300
0.00391	-0.00559
0.00728	-0.00777
0.01156	-0.00959
0.01672	-0.01108
0.02276	-0.01229
0.02964	-0.01327
0.03737	-0.01408
0.04592	-0.01476
0.05531	-0.01538
0.06552	-0.01598
0.07658	-0.01663
0.08848	-0.01735
0.10126	-0.01820
0.11492	-0.01920
0.12951	-0.02035
0.14503	-0.02168
0.16154	-0.02315
0.17906	-0.02473
0.19762	-0.02634
0.21717	-0.02792
0.23753	-0.02941
0.25868	-0.03081
0.28059	-0.03212
0.30324	-0.03331
0.32661	-0.03439
0.35068	-0.03534
0.37541	-0.03614
0.40079	-0.03678
0.42678	-0.03724
0.45337	-0.03751
0.48052	-0.03758
0.50822	-0.03743
0.53642	-0.03706
0.56510	-0.03646
0.59423	-0.03561
0.62379	-0.03452
0.65373	-0.03317
0.68404	-0.03157
0.71468	-0.02970
0.74561	-0.02757
0.77681	-0.02517
0.80825	-0.02250
0.83989	-0.01957
0.87170	-0.01637
0.90365	-0.01291
0.93570	-0.00919
0.96782	-0.00522
1.00000	0.00000
