NACA 23015-64	
1.00000	0.00000
0.96814	0.00960
0.93628	0.01732
0.90447	0.02467
0.87276	0.03162
0.84117	0.03817
0.80973	0.04431
0.77848	0.05004
0.74744	0.05536
0.71666	0.06026
0.68617	0.06475
0.65599	0.06883
0.62615	0.07250
0.59669	0.07577
0.56764	0.07864
0.53903	0.08113
0.51088	0.08324
0.48323	0.08499
0.45611	0.08638
0.42954	0.08745
0.40355	0.08819
0.37816	0.08863
0.35342	0.08879
0.32933	0.08870
0.30593	0.08838
0.28324	0.08783
0.26128	0.08709
0.24009	0.08616
0.21967	0.08504
0.20004	0.08376
0.18098	0.08229
0.16247	0.08055
0.14459	0.07846
0.12745	0.07596
0.11112	0.07304
0.09569	0.06968
0.08124	0.06589
0.06784	0.06170
0.05554	0.05716
0.04440	0.05232
0.03444	0.04723
0.02571	0.04197
0.01822	0.03660
0.01197	0.03117
0.00696	0.02575
0.00319	0.02038
0.00064	0.01509
-0.00072	0.00993
-0.00092	0.00490
0.00000	0.00000
0.00195	-0.00458
0.00483	-0.00869
0.00860	-0.01234
0.01323	-0.01558
0.01867	-0.01845
0.02491	-0.02098
0.03193	-0.02325
0.03970	-0.02529
0.04822	-0.02716
0.05749	-0.02892
0.06752	-0.03061
0.07833	-0.03229
0.08993	-0.03400
0.10237	-0.03578
0.11568	-0.03764
0.12992	-0.03962
0.14512	-0.04170
0.16136	-0.04389
0.17867	-0.04613
0.19714	-0.04837
0.21667	-0.05051
0.23702	-0.05252
0.25816	-0.05439
0.28006	-0.05611
0.30271	-0.05765
0.32607	-0.05901
0.35013	-0.06016
0.37486	-0.06109
0.40023	-0.06177
0.42623	-0.06218
0.45282	-0.06229
0.47998	-0.06209
0.50768	-0.06156
0.53590	-0.06070
0.56459	-0.05948
0.59374	-0.05789
0.62331	-0.05592
0.65328	-0.05358
0.68362	-0.05083
0.71428	-0.04770
0.74525	-0.04416
0.77648	-0.04021
0.80796	-0.03587
0.83964	-0.03112
0.87149	-0.02597
0.90348	-0.02042
0.93558	-0.01449
0.96775	-0.00818
1.00000	0.00000
