NACA 23009-64	
1.00000	0.00000
0.96807	0.00604
0.93614	0.01096
0.90428	0.01565
0.87250	0.02010
0.84086	0.02431
0.80937	0.02827
0.77808	0.03199
0.74700	0.03546
0.71619	0.03867
0.68566	0.04163
0.65545	0.04435
0.62558	0.04681
0.59610	0.04904
0.56703	0.05102
0.53840	0.05276
0.51024	0.05428
0.48258	0.05557
0.45545	0.05665
0.42887	0.05752
0.40288	0.05820
0.37750	0.05869
0.35276	0.05900
0.32868	0.05916
0.30528	0.05917
0.28260	0.05905
0.26066	0.05879
0.23947	0.05842
0.21907	0.05793
0.19946	0.05734
0.18052	0.05661
0.16225	0.05566
0.14470	0.05442
0.12794	0.05285
0.11203	0.05090
0.09703	0.04859
0.08298	0.04591
0.06994	0.04290
0.05794	0.03961
0.04702	0.03607
0.03720	0.03236
0.02851	0.02852
0.02096	0.02463
0.01456	0.02074
0.00931	0.01691
0.00520	0.01318
0.00223	0.00961
0.00039	0.00620
-0.00035	0.00300
0.00000	0.00000
0.00138	-0.00269
0.00372	-0.00496
0.00701	-0.00686
0.01122	-0.00839
0.01633	-0.00961
0.02232	-0.01055
0.02918	-0.01128
0.03690	-0.01183
0.04546	-0.01228
0.05487	-0.01267
0.06513	-0.01306
0.07623	-0.01349
0.08819	-0.01402
0.10103	-0.01469
0.11477	-0.01551
0.12942	-0.01650
0.14502	-0.01767
0.16158	-0.01900
0.17913	-0.02044
0.19772	-0.02194
0.21727	-0.02340
0.23764	-0.02479
0.25878	-0.02610
0.28070	-0.02732
0.30335	-0.02844
0.32672	-0.02947
0.35078	-0.03037
0.37552	-0.03115
0.40090	-0.03178
0.42689	-0.03225
0.45348	-0.03255
0.48063	-0.03267
0.50832	-0.03260
0.53652	-0.03233
0.56520	-0.03185
0.59433	-0.03116
0.62388	-0.03024
0.65382	-0.02909
0.68413	-0.02772
0.71476	-0.02610
0.74569	-0.02425
0.77688	-0.02216
0.80831	-0.01983
0.83994	-0.01726
0.87174	-0.01445
0.90368	-0.01141
0.93572	-0.00813
0.96783	-0.00463
1.00000	0.00000
