NACA 16-206	
1.00000	0.00000
0.96813	0.00610
0.93623	0.01111
0.90437	0.01565
0.87258	0.01972
0.84089	0.02335
0.80934	0.02656
0.77798	0.02936
0.74682	0.03178
0.71592	0.03384
0.68529	0.03555
0.65498	0.03695
0.62502	0.03806
0.59544	0.03889
0.56627	0.03948
0.53755	0.03984
0.50930	0.03999
0.48156	0.03996
0.45436	0.03976
0.42771	0.03941
0.40166	0.03891
0.37622	0.03828
0.35143	0.03752
0.32732	0.03665
0.30389	0.03568
0.28119	0.03461
0.25923	0.03347
0.23803	0.03224
0.21762	0.03095
0.19803	0.02961
0.17926	0.02822
0.16133	0.02678
0.14428	0.02531
0.12811	0.02382
0.11284	0.02230
0.09848	0.02077
0.08505	0.01923
0.07257	0.01768
0.06105	0.01613
0.05049	0.01459
0.04091	0.01305
0.03232	0.01152
0.02473	0.01001
0.01814	0.00852
0.01256	0.00704
0.00800	0.00558
0.00446	0.00415
0.00195	0.00274
0.00046	0.00136
0.00000	0.00000
0.00110	-0.00185
0.00425	-0.00358
0.00944	-0.00520
0.01664	-0.00671
0.02582	-0.00811
0.03694	-0.00941
0.04997	-0.01060
0.06483	-0.01170
0.08148	-0.01271
0.09985	-0.01364
0.11985	-0.01449
0.14140	-0.01527
0.16443	-0.01598
0.18882	-0.01663
0.21449	-0.01722
0.24132	-0.01775
0.26921	-0.01823
0.29805	-0.01865
0.32770	-0.01902
0.35806	-0.01934
0.38900	-0.01959
0.42039	-0.01979
0.45210	-0.01992
0.48401	-0.01999
0.51599	-0.01999
0.54790	-0.01991
0.57961	-0.01974
0.61100	-0.01946
0.64194	-0.01906
0.67230	-0.01854
0.70197	-0.01789
0.73081	-0.01710
0.75871	-0.01620
0.78556	-0.01518
0.81124	-0.01405
0.83566	-0.01285
0.85870	-0.01157
0.88028	-0.01026
0.90031	-0.00893
0.91869	-0.00761
0.93535	-0.00634
0.95023	-0.00513
0.96326	-0.00402
0.97438	-0.00303
0.98354	-0.00218
0.99071	-0.00150
0.99585	-0.00100
0.99894	-0.00070
1.00000	0.00000
