NACA 16-009	
1.00000	0.00000
0.96795	0.00729
0.93593	0.01308
0.90398	0.01827
0.87212	0.02290
0.84040	0.02699
0.80884	0.03057
0.77748	0.03367
0.74635	0.03632
0.71547	0.03855
0.68489	0.04039
0.65463	0.04187
0.62473	0.04302
0.59522	0.04388
0.56612	0.04448
0.53746	0.04484
0.50928	0.04499
0.48161	0.04496
0.45447	0.04477
0.42788	0.04443
0.40189	0.04395
0.37651	0.04334
0.35177	0.04261
0.32770	0.04176
0.30432	0.04082
0.28165	0.03979
0.25972	0.03867
0.23855	0.03747
0.21817	0.03621
0.19859	0.03488
0.17983	0.03349
0.16191	0.03204
0.14486	0.03055
0.12868	0.02901
0.11340	0.02743
0.09903	0.02581
0.08559	0.02416
0.07308	0.02247
0.06153	0.02074
0.05094	0.01899
0.04133	0.01721
0.03271	0.01540
0.02507	0.01356
0.01844	0.01170
0.01282	0.00981
0.00821	0.00789
0.00462	0.00596
0.00205	0.00399
0.00051	0.00201
0.00000	0.00000
0.00103	-0.00283
0.00410	-0.00562
0.00922	-0.00835
0.01635	-0.01104
0.02547	-0.01366
0.03654	-0.01623
0.04952	-0.01874
0.06434	-0.02118
0.08096	-0.02355
0.09929	-0.02584
0.11928	-0.02806
0.14083	-0.03018
0.16385	-0.03221
0.18826	-0.03413
0.21394	-0.03593
0.24080	-0.03761
0.26873	-0.03914
0.29761	-0.04053
0.32732	-0.04175
0.35774	-0.04279
0.38874	-0.04365
0.42020	-0.04430
0.45199	-0.04475
0.48397	-0.04497
0.51603	-0.04497
0.54801	-0.04473
0.57980	-0.04423
0.61126	-0.04345
0.64226	-0.04238
0.67268	-0.04102
0.70239	-0.03938
0.73127	-0.03745
0.75920	-0.03527
0.78606	-0.03287
0.81174	-0.03026
0.83615	-0.02750
0.85917	-0.02463
0.88072	-0.02170
0.90071	-0.01877
0.91904	-0.01589
0.93566	-0.01312
0.95048	-0.01052
0.96346	-0.00814
0.97453	-0.00603
0.98365	-0.00424
0.99078	-0.00280
0.99590	-0.00175
0.99897	-0.00111
1.00000	0.00000
