NACA 16-509	
1.00000	0.00000
0.96863	0.01037
0.93707	0.01902
0.90545	0.02689
0.87382	0.03399
0.84223	0.04034
0.81073	0.04597
0.77934	0.05092
0.74813	0.05521
0.71713	0.05887
0.68638	0.06194
0.65593	0.06446
0.62581	0.06645
0.59605	0.06797
0.56670	0.06904
0.53780	0.06970
0.50937	0.06998
0.48144	0.06993
0.45406	0.06956
0.42724	0.06891
0.40103	0.06798
0.37544	0.06680
0.35051	0.06539
0.32626	0.06377
0.30272	0.06196
0.27991	0.05998
0.25787	0.05785
0.23660	0.05559
0.21613	0.05321
0.19649	0.05073
0.17769	0.04817
0.15975	0.04554
0.14269	0.04286
0.12653	0.04014
0.11129	0.03740
0.09697	0.03465
0.08359	0.03190
0.07117	0.02916
0.05972	0.02644
0.04925	0.02375
0.03976	0.02110
0.03127	0.01849
0.02379	0.01594
0.01732	0.01345
0.01187	0.01103
0.00744	0.00867
0.00403	0.00639
0.00166	0.00418
0.00031	0.00205
0.00000	0.00000
0.00131	-0.00272
0.00466	-0.00518
0.01004	-0.00740
0.01742	-0.00938
0.02676	-0.01112
0.03804	-0.01264
0.05120	-0.01396
0.06618	-0.01508
0.08292	-0.01603
0.10136	-0.01682
0.12141	-0.01747
0.14299	-0.01800
0.16601	-0.01843
0.19038	-0.01878
0.21599	-0.01905
0.24275	-0.01927
0.27054	-0.01945
0.29925	-0.01959
0.32876	-0.01971
0.35895	-0.01980
0.38971	-0.01988
0.42091	-0.01993
0.45242	-0.01998
0.48412	-0.02000
0.51588	-0.02000
0.54758	-0.01996
0.57909	-0.01986
0.61029	-0.01968
0.64106	-0.01939
0.67127	-0.01898
0.70080	-0.01844
0.72954	-0.01776
0.75737	-0.01695
0.78418	-0.01599
0.80986	-0.01492
0.83431	-0.01374
0.85741	-0.01247
0.87908	-0.01113
0.89921	-0.00977
0.91772	-0.00840
0.93452	-0.00705
0.94954	-0.00577
0.96271	-0.00459
0.97396	-0.00352
0.98324	-0.00261
0.99051	-0.00188
0.99572	-0.00134
0.99886	-0.00101
1.00000	0.00000
