NACA 16-006	
1.00000	0.00000
0.96795	0.00486
0.93593	0.00872
0.90398	0.01218
0.87212	0.01527
0.84040	0.01799
0.80884	0.02038
0.77748	0.02245
0.74635	0.02421
0.71547	0.02570
0.68489	0.02692
0.65463	0.02791
0.62473	0.02868
0.59522	0.02926
0.56612	0.02965
0.53746	0.02989
0.50928	0.02999
0.48161	0.02998
0.45447	0.02985
0.42788	0.02962
0.40189	0.02930
0.37651	0.02889
0.35177	0.02840
0.32770	0.02784
0.30432	0.02721
0.28165	0.02653
0.25972	0.02578
0.23855	0.02498
0.21817	0.02414
0.19859	0.02325
0.17983	0.02232
0.16191	0.02136
0.14486	0.02037
0.12868	0.01934
0.11340	0.01829
0.09903	0.01721
0.08559	0.01610
0.07308	0.01498
0.06153	0.01383
0.05094	0.01266
0.04133	0.01147
0.03271	0.01027
0.02507	0.00904
0.01844	0.00780
0.01282	0.00654
0.00821	0.00526
0.00462	0.00397
0.00205	0.00266
0.00051	0.00134
0.00000	0.00000
0.00103	-0.00189
0.00410	-0.00375
0.00922	-0.00557
0.01635	-0.00736
0.02547	-0.00911
0.03654	-0.01082
0.04952	-0.01249
0.06434	-0.01412
0.08096	-0.01570
0.09929	-0.01723
0.11928	-0.01870
0.14083	-0.02012
0.16385	-0.02147
0.18826	-0.02275
0.21394	-0.02395
0.24080	-0.02507
0.26873	-0.02610
0.29761	-0.02702
0.32732	-0.02783
0.35774	-0.02853
0.38874	-0.02910
0.42020	-0.02954
0.45199	-0.02983
0.48397	-0.02998
0.51603	-0.02998
0.54801	-0.02982
0.57980	-0.02949
0.61126	-0.02897
0.64226	-0.02825
0.67268	-0.02735
0.70239	-0.02625
0.73127	-0.02497
0.75920	-0.02352
0.78606	-0.02191
0.81174	-0.02017
0.83615	-0.01833
0.85917	-0.01642
0.88072	-0.01447
0.90071	-0.01251
0.91904	-0.01059
0.93566	-0.00875
0.95048	-0.00701
0.96346	-0.00543
0.97453	-0.00402
0.98365	-0.00283
0.99078	-0.00187
0.99590	-0.00117
0.99897	-0.00074
1.00000	0.00000
