NACA 16-506	
1.00000	0.00000
0.96840	0.00794
0.93669	0.01468
0.90496	0.02082
0.87326	0.02638
0.84162	0.03136
0.81010	0.03580
0.77872	0.03971
0.74754	0.04311
0.71658	0.04603
0.68589	0.04849
0.65550	0.05051
0.62545	0.05212
0.59577	0.05334
0.56651	0.05421
0.53769	0.05475
0.50934	0.05498
0.48150	0.05494
0.45419	0.05464
0.42746	0.05410
0.40131	0.05333
0.37580	0.05236
0.35093	0.05119
0.32674	0.04986
0.30325	0.04836
0.28049	0.04673
0.25848	0.04498
0.23725	0.04311
0.21681	0.04116
0.19719	0.03912
0.17840	0.03703
0.16047	0.03488
0.14341	0.03270
0.12725	0.03050
0.11199	0.02829
0.09766	0.02608
0.08426	0.02388
0.07181	0.02170
0.06032	0.01955
0.04981	0.01744
0.04028	0.01539
0.03175	0.01338
0.02422	0.01144
0.01769	0.00957
0.01218	0.00777
0.00769	0.00605
0.00423	0.00441
0.00179	0.00285
0.00038	0.00138
0.00000	0.00000
0.00121	-0.00178
0.00447	-0.00332
0.00976	-0.00463
0.01706	-0.00572
0.02633	-0.00659
0.03754	-0.00725
0.05064	-0.00774
0.06557	-0.00805
0.08227	-0.00820
0.10067	-0.00823
0.12070	-0.00814
0.14227	-0.00797
0.16529	-0.00772
0.18967	-0.00742
0.21531	-0.00710
0.24210	-0.00676
0.26994	-0.00642
0.29870	-0.00609
0.32828	-0.00580
0.35855	-0.00554
0.38939	-0.00533
0.42067	-0.00517
0.45227	-0.00506
0.48407	-0.00501
0.51593	-0.00501
0.54773	-0.00505
0.57933	-0.00512
0.61062	-0.00520
0.64146	-0.00527
0.67174	-0.00531
0.70133	-0.00533
0.73012	-0.00529
0.75798	-0.00520
0.78481	-0.00506
0.81049	-0.00485
0.83492	-0.00459
0.85800	-0.00428
0.87962	-0.00392
0.89971	-0.00353
0.91816	-0.00312
0.93490	-0.00270
0.94985	-0.00228
0.96296	-0.00188
0.97415	-0.00152
0.98338	-0.00121
0.99060	-0.00095
0.99578	-0.00075
0.99890	-0.00064
1.00000	0.00000
