NACA 16-209	
1.00000	0.00000
0.96822	0.00853
0.93639	0.01547
0.90457	0.02173
0.87280	0.02735
0.84113	0.03235
0.80960	0.03675
0.77823	0.04058
0.74706	0.04388
0.71614	0.04668
0.68549	0.04901
0.65515	0.05091
0.62516	0.05240
0.59555	0.05352
0.56635	0.05430
0.53760	0.05478
0.50932	0.05499
0.48154	0.05495
0.45430	0.05469
0.42763	0.05422
0.40154	0.05356
0.37608	0.05272
0.35127	0.05172
0.32712	0.05057
0.30368	0.04929
0.28096	0.04787
0.25898	0.04635
0.23777	0.04473
0.21735	0.04302
0.19775	0.04123
0.17897	0.03938
0.16105	0.03746
0.14399	0.03549
0.12782	0.03348
0.11255	0.03144
0.09820	0.02937
0.08479	0.02727
0.07232	0.02516
0.06080	0.02304
0.05026	0.02091
0.04070	0.01878
0.03213	0.01665
0.02456	0.01453
0.01799	0.01241
0.01244	0.01031
0.00790	0.00821
0.00439	0.00613
0.00190	0.00407
0.00043	0.00203
0.00000	0.00000
0.00114	-0.00279
0.00433	-0.00545
0.00955	-0.00798
0.01678	-0.01039
0.02599	-0.01266
0.03714	-0.01481
0.05019	-0.01684
0.06508	-0.01876
0.08174	-0.02056
0.10012	-0.02225
0.12013	-0.02384
0.14169	-0.02533
0.16472	-0.02671
0.18911	-0.02800
0.21476	-0.02919
0.24158	-0.03029
0.26945	-0.03128
0.29826	-0.03216
0.32789	-0.03294
0.35822	-0.03360
0.38913	-0.03414
0.42048	-0.03456
0.45216	-0.03484
0.48403	-0.03498
0.51597	-0.03498
0.54784	-0.03482
0.57952	-0.03448
0.61087	-0.03394
0.64178	-0.03319
0.67212	-0.03221
0.70175	-0.03101
0.73058	-0.02959
0.75846	-0.02795
0.78531	-0.02613
0.81099	-0.02414
0.83541	-0.02201
0.85847	-0.01978
0.88006	-0.01749
0.90011	-0.01518
0.91851	-0.01291
0.93520	-0.01071
0.95011	-0.00863
0.96316	-0.00673
0.97430	-0.00504
0.98348	-0.00359
0.99067	-0.00244
0.99583	-0.00159
0.99893	-0.00107
1.00000	0.00000
