NACA 16-004	
1.00000	0.00000
0.96795	0.00324
0.93593	0.00581
0.90398	0.00812
0.87212	0.01018
0.84040	0.01200
0.80884	0.01359
0.77748	0.01496
0.74635	0.01614
0.71547	0.01713
0.68489	0.01795
0.65463	0.01861
0.62473	0.01912
0.59522	0.01950
0.56612	0.01977
0.53746	0.01993
0.50928	0.02000
0.48161	0.01998
0.45447	0.01990
0.42788	0.01975
0.40189	0.01953
0.37651	0.01926
0.35177	0.01894
0.32770	0.01856
0.30432	0.01814
0.28165	0.01768
0.25972	0.01719
0.23855	0.01665
0.21817	0.01609
0.19859	0.01550
0.17983	0.01488
0.16191	0.01424
0.14486	0.01358
0.12868	0.01289
0.11340	0.01219
0.09903	0.01147
0.08559	0.01074
0.07308	0.00998
0.06153	0.00922
0.05094	0.00844
0.04133	0.00765
0.03271	0.00684
0.02507	0.00603
0.01844	0.00520
0.01282	0.00436
0.00821	0.00351
0.00462	0.00265
0.00205	0.00177
0.00051	0.00089
0.00000	0.00000
0.00103	-0.00126
0.00410	-0.00250
0.00922	-0.00371
0.01635	-0.00491
0.02547	-0.00607
0.03654	-0.00721
0.04952	-0.00833
0.06434	-0.00941
0.08096	-0.01047
0.09929	-0.01149
0.11928	-0.01247
0.14083	-0.01341
0.16385	-0.01431
0.18826	-0.01517
0.21394	-0.01597
0.24080	-0.01671
0.26873	-0.01740
0.29761	-0.01801
0.32732	-0.01856
0.35774	-0.01902
0.38874	-0.01940
0.42020	-0.01969
0.45199	-0.01989
0.48397	-0.01999
0.51603	-0.01999
0.54801	-0.01988
0.57980	-0.01966
0.61126	-0.01931
0.64226	-0.01884
0.67268	-0.01823
0.70239	-0.01750
0.73127	-0.01665
0.75920	-0.01568
0.78606	-0.01461
0.81174	-0.01345
0.83615	-0.01222
0.85917	-0.01095
0.88072	-0.00965
0.90071	-0.00834
0.91904	-0.00706
0.93566	-0.00583
0.95048	-0.00468
0.96346	-0.00362
0.97453	-0.00268
0.98365	-0.00188
0.99078	-0.00125
0.99590	-0.00078
0.99897	-0.00050
1.00000	0.00000
