NACA 16-012	
1.00000	0.00000
0.96795	0.00973
0.93593	0.01744
0.90398	0.02436
0.87212	0.03053
0.84040	0.03599
0.80884	0.04076
0.77748	0.04489
0.74635	0.04842
0.71547	0.05139
0.68489	0.05385
0.65463	0.05582
0.62473	0.05736
0.59522	0.05851
0.56612	0.05930
0.53746	0.05978
0.50928	0.05999
0.48161	0.05995
0.45447	0.05970
0.42788	0.05924
0.40189	0.05860
0.37651	0.05778
0.35177	0.05681
0.32770	0.05569
0.30432	0.05443
0.28165	0.05305
0.25972	0.05156
0.23855	0.04996
0.21817	0.04828
0.19859	0.04650
0.17983	0.04465
0.16191	0.04272
0.14486	0.04073
0.12868	0.03868
0.11340	0.03658
0.09903	0.03442
0.08559	0.03221
0.07308	0.02995
0.06153	0.02766
0.05094	0.02532
0.04133	0.02294
0.03271	0.02053
0.02507	0.01808
0.01844	0.01560
0.01282	0.01308
0.00821	0.01052
0.00462	0.00794
0.00205	0.00532
0.00051	0.00268
0.00000	0.00000
0.00103	-0.00378
0.00410	-0.00749
0.00922	-0.01114
0.01635	-0.01472
0.02547	-0.01822
0.03654	-0.02164
0.04952	-0.02498
0.06434	-0.02824
0.08096	-0.03140
0.09929	-0.03446
0.11928	-0.03741
0.14083	-0.04024
0.16385	-0.04294
0.18826	-0.04550
0.21394	-0.04791
0.24080	-0.05014
0.26873	-0.05219
0.29761	-0.05404
0.32732	-0.05567
0.35774	-0.05706
0.38874	-0.05820
0.42020	-0.05907
0.45199	-0.05966
0.48397	-0.05996
0.51603	-0.05996
0.54801	-0.05964
0.57980	-0.05897
0.61126	-0.05793
0.64226	-0.05651
0.67268	-0.05470
0.70239	-0.05250
0.73127	-0.04994
0.75920	-0.04703
0.78606	-0.04382
0.81174	-0.04035
0.83615	-0.03667
0.85917	-0.03284
0.88072	-0.02894
0.90071	-0.02503
0.91904	-0.02119
0.93566	-0.01750
0.95048	-0.01403
0.96346	-0.01086
0.97453	-0.00804
0.98365	-0.00565
0.99078	-0.00374
0.99590	-0.00234
0.99897	-0.00149
1.00000	0.00000
