NACA 16-409	
1.00000	0.00000
0.96849	0.00976
0.93684	0.01784
0.90516	0.02518
0.87348	0.03178
0.84187	0.03768
0.81035	0.04290
0.77897	0.04748
0.74778	0.05143
0.71680	0.05481
0.68609	0.05763
0.65567	0.05994
0.62559	0.06177
0.59589	0.06315
0.56659	0.06413
0.53773	0.06472
0.50935	0.06498
0.48148	0.06494
0.45414	0.06461
0.42737	0.06401
0.40120	0.06317
0.37565	0.06211
0.35076	0.06084
0.32655	0.05937
0.30304	0.05774
0.28026	0.05595
0.25824	0.05402
0.23699	0.05197
0.21654	0.04982
0.19691	0.04757
0.17811	0.04524
0.16018	0.04285
0.14312	0.04041
0.12696	0.03793
0.11171	0.03542
0.09738	0.03290
0.08399	0.03036
0.07155	0.02783
0.06008	0.02531
0.04958	0.02281
0.04007	0.02033
0.03156	0.01789
0.02404	0.01548
0.01754	0.01311
0.01206	0.01079
0.00759	0.00852
0.00415	0.00630
0.00174	0.00414
0.00035	0.00204
0.00000	0.00000
0.00125	-0.00274
0.00455	-0.00527
0.00987	-0.00760
0.01720	-0.00972
0.02651	-0.01164
0.03774	-0.01337
0.05086	-0.01492
0.06581	-0.01631
0.08253	-0.01754
0.10095	-0.01864
0.12098	-0.01960
0.14256	-0.02045
0.16558	-0.02120
0.18996	-0.02186
0.21558	-0.02244
0.24236	-0.02295
0.27018	-0.02340
0.29892	-0.02378
0.32847	-0.02412
0.35871	-0.02440
0.38952	-0.02463
0.42077	-0.02481
0.45233	-0.02493
0.48409	-0.02499
0.51591	-0.02499
0.54767	-0.02491
0.57924	-0.02473
0.61049	-0.02443
0.64130	-0.02399
0.67155	-0.02339
0.70112	-0.02263
0.72988	-0.02171
0.75773	-0.02062
0.78456	-0.01938
0.81024	-0.01800
0.83467	-0.01650
0.85776	-0.01491
0.87940	-0.01326
0.89951	-0.01158
0.91798	-0.00990
0.93475	-0.00828
0.94973	-0.00673
0.96286	-0.00530
0.97407	-0.00403
0.98332	-0.00294
0.99056	-0.00206
0.99576	-0.00142
0.99888	-0.00103
1.00000	0.00000
