NACA 16-406	
1.00000	0.00000
0.96831	0.00733
0.93654	0.01349
0.90476	0.01910
0.87303	0.02416
0.84138	0.02870
0.80985	0.03272
0.77847	0.03626
0.74730	0.03934
0.71636	0.04197
0.68569	0.04418
0.65533	0.04599
0.62531	0.04743
0.59566	0.04853
0.56643	0.04930
0.53764	0.04978
0.50933	0.04999
0.48152	0.04995
0.45425	0.04968
0.42754	0.04920
0.40143	0.04853
0.37594	0.04767
0.35110	0.04664
0.32693	0.04546
0.30347	0.04414
0.28072	0.04269
0.25873	0.04114
0.23751	0.03949
0.21708	0.03776
0.19747	0.03596
0.17869	0.03409
0.16076	0.03219
0.14370	0.03024
0.12753	0.02828
0.11227	0.02630
0.09793	0.02431
0.08452	0.02233
0.07206	0.02036
0.06056	0.01841
0.05004	0.01650
0.04049	0.01461
0.03194	0.01277
0.02439	0.01097
0.01784	0.00922
0.01231	0.00753
0.00780	0.00590
0.00431	0.00433
0.00184	0.00282
0.00041	0.00138
0.00000	0.00000
0.00118	-0.00180
0.00440	-0.00341
0.00966	-0.00482
0.01692	-0.00605
0.02616	-0.00710
0.03734	-0.00798
0.05041	-0.00869
0.06532	-0.00927
0.08201	-0.00971
0.10040	-0.01004
0.12041	-0.01026
0.14198	-0.01041
0.16500	-0.01048
0.18939	-0.01050
0.21504	-0.01047
0.24184	-0.01042
0.26970	-0.01036
0.29848	-0.01028
0.32809	-0.01021
0.35839	-0.01014
0.38926	-0.01008
0.42058	-0.01004
0.45222	-0.01001
0.48405	-0.01000
0.51595	-0.01000
0.54778	-0.01000
0.57942	-0.00999
0.61074	-0.00995
0.64162	-0.00987
0.67193	-0.00972
0.70154	-0.00951
0.73035	-0.00923
0.75822	-0.00887
0.78506	-0.00843
0.81074	-0.00792
0.83517	-0.00735
0.85823	-0.00671
0.87984	-0.00604
0.89991	-0.00533
0.91834	-0.00462
0.93505	-0.00391
0.94998	-0.00323
0.96306	-0.00260
0.97422	-0.00202
0.98343	-0.00153
0.99063	-0.00113
0.99580	-0.00084
0.99891	-0.00066
1.00000	0.00000
