NACA 16-512	
1.00000	0.00000
0.96885	0.01279
0.93744	0.02337
0.90594	0.03296
0.87439	0.04160
0.84284	0.04932
0.81135	0.05614
0.77997	0.06212
0.74873	0.06730
0.71769	0.07170
0.68688	0.07539
0.65636	0.07840
0.62616	0.08079
0.59633	0.08259
0.56690	0.08386
0.53791	0.08464
0.50939	0.08498
0.48139	0.08492
0.45392	0.08449
0.42703	0.08371
0.40074	0.08262
0.37508	0.08124
0.35009	0.07958
0.32578	0.07768
0.30219	0.07556
0.27934	0.07323
0.25725	0.07073
0.23594	0.06806
0.21545	0.06526
0.19579	0.06233
0.17697	0.05931
0.15903	0.05620
0.14197	0.05302
0.12582	0.04979
0.11058	0.04652
0.09628	0.04323
0.08293	0.03992
0.07053	0.03662
0.05912	0.03333
0.04868	0.03005
0.03924	0.02681
0.03079	0.02361
0.02336	0.02044
0.01695	0.01733
0.01155	0.01428
0.00718	0.01129
0.00384	0.00836
0.00153	0.00550
0.00025	0.00272
0.00000	0.00000
0.00140	-0.00366
0.00484	-0.00705
0.01031	-0.01017
0.01777	-0.01304
0.02719	-0.01565
0.03854	-0.01803
0.05176	-0.02018
0.06679	-0.02211
0.08358	-0.02385
0.10205	-0.02540
0.12212	-0.02679
0.14371	-0.02804
0.16673	-0.02914
0.19109	-0.03013
0.21668	-0.03101
0.24340	-0.03179
0.27114	-0.03248
0.29979	-0.03309
0.32924	-0.03361
0.35936	-0.03406
0.39003	-0.03442
0.42114	-0.03470
0.45256	-0.03489
0.48417	-0.03499
0.51583	-0.03499
0.54744	-0.03487
0.57886	-0.03460
0.60997	-0.03416
0.64066	-0.03351
0.67079	-0.03265
0.70027	-0.03155
0.72896	-0.03023
0.75676	-0.02869
0.78356	-0.02693
0.80923	-0.02499
0.83369	-0.02288
0.85682	-0.02066
0.87853	-0.01835
0.89871	-0.01600
0.91727	-0.01368
0.93414	-0.01141
0.94923	-0.00927
0.96246	-0.00729
0.97377	-0.00553
0.98310	-0.00402
0.99041	-0.00281
0.99566	-0.00192
0.99883	-0.00138
1.00000	0.00000
