NACA 16-212	
1.00000	0.00000
0.96831	0.01096
0.93654	0.01982
0.90476	0.02782
0.87303	0.03498
0.84138	0.04134
0.80985	0.04693
0.77848	0.05180
0.74730	0.05599
0.71636	0.05953
0.68569	0.06247
0.65533	0.06486
0.62531	0.06674
0.59566	0.06815
0.56643	0.06913
0.53764	0.06973
0.50933	0.06998
0.48152	0.06994
0.45425	0.06961
0.42754	0.06903
0.40143	0.06821
0.37594	0.06717
0.35110	0.06592
0.32693	0.06449
0.30347	0.06289
0.28072	0.06114
0.25873	0.05924
0.23751	0.05722
0.21708	0.05509
0.19747	0.05285
0.17868	0.05053
0.16076	0.04814
0.14370	0.04567
0.12753	0.04315
0.11227	0.04058
0.09793	0.03797
0.08452	0.03532
0.07206	0.03265
0.06056	0.02995
0.05004	0.02724
0.04049	0.02451
0.03194	0.02178
0.02439	0.01905
0.01784	0.01631
0.01231	0.01357
0.00780	0.01084
0.00431	0.00812
0.00184	0.00540
0.00041	0.00270
0.00000	0.00000
0.00118	-0.00373
0.00440	-0.00732
0.00966	-0.01076
0.01692	-0.01406
0.02616	-0.01721
0.03734	-0.02022
0.05042	-0.02309
0.06532	-0.02581
0.08201	-0.02840
0.10040	-0.03086
0.12042	-0.03319
0.14198	-0.03538
0.16500	-0.03744
0.18939	-0.03937
0.21504	-0.04117
0.24184	-0.04282
0.26970	-0.04432
0.29848	-0.04567
0.32809	-0.04685
0.35839	-0.04786
0.38926	-0.04869
0.42058	-0.04932
0.45222	-0.04975
0.48405	-0.04997
0.51595	-0.04997
0.54778	-0.04973
0.57942	-0.04922
0.61074	-0.04842
0.64162	-0.04731
0.67193	-0.04588
0.70154	-0.04413
0.73035	-0.04207
0.75822	-0.03971
0.78506	-0.03708
0.81074	-0.03422
0.83516	-0.03117
0.85823	-0.02799
0.87984	-0.02472
0.89990	-0.02144
0.91833	-0.01820
0.93505	-0.01508
0.94998	-0.01214
0.96306	-0.00944
0.97422	-0.00704
0.98343	-0.00501
0.99063	-0.00337
0.99580	-0.00217
0.99891	-0.00144
1.00000	0.00000
