NACA 0012	
1.00000	0.00000
0.96795	0.00456
0.93593	0.00894
0.90398	0.01314
0.87212	0.01716
0.84040	0.02102
0.80884	0.02471
0.77748	0.02823
0.74635	0.03159
0.71547	0.03479
0.68489	0.03782
0.65463	0.04067
0.62473	0.04336
0.59522	0.04587
0.56612	0.04819
0.53746	0.05032
0.50928	0.05226
0.48161	0.05400
0.45447	0.05552
0.42788	0.05683
0.40189	0.05793
0.37651	0.05879
0.35177	0.05943
0.32770	0.05983
0.30432	0.06000
0.28165	0.05993
0.25972	0.05963
0.23855	0.05908
0.21817	0.05830
0.19859	0.05729
0.17983	0.05605
0.16191	0.05459
0.14486	0.05291
0.12868	0.05103
0.11340	0.04894
0.09903	0.04666
0.08559	0.04420
0.07308	0.04157
0.06153	0.03878
0.05094	0.03583
0.04133	0.03274
0.03271	0.02952
0.02507	0.02618
0.01844	0.02273
0.01282	0.01917
0.00821	0.01551
0.00462	0.01176
0.00205	0.00792
0.00051	0.00400
0.00000	0.00000
0.00051	-0.00400
0.00205	-0.00792
0.00462	-0.01176
0.00821	-0.01551
0.01282	-0.01917
0.01844	-0.02273
0.02507	-0.02618
0.03271	-0.02952
0.04133	-0.03274
0.05094	-0.03583
0.06153	-0.03878
0.07308	-0.04157
0.08559	-0.04420
0.09903	-0.04666
0.11340	-0.04894
0.12868	-0.05103
0.14486	-0.05291
0.16191	-0.05459
0.17983	-0.05605
0.19859	-0.05729
0.21817	-0.05830
0.23855	-0.05908
0.25972	-0.05963
0.28165	-0.05993
0.30432	-0.06000
0.32770	-0.05983
0.35177	-0.05943
0.37651	-0.05879
0.40189	-0.05793
0.42788	-0.05683
0.45447	-0.05552
0.48161	-0.05400
0.50928	-0.05226
0.53746	-0.05032
0.56612	-0.04819
0.59522	-0.04587
0.62473	-0.04336
0.65463	-0.04067
0.68489	-0.03782
0.71547	-0.03479
0.74635	-0.03159
0.77748	-0.02823
0.80884	-0.02471
0.84040	-0.02102
0.87212	-0.01716
0.90398	-0.01314
0.93593	-0.00894
0.96795	-0.00456
1.00000	0.00000
