NACA 0006	
1.00000	0.00000
0.96795	0.00228
0.93593	0.00447
0.90398	0.00657
0.87212	0.00858
0.84040	0.01051
0.80884	0.01235
0.77748	0.01412
0.74635	0.01580
0.71547	0.01739
0.68489	0.01891
0.65463	0.02034
0.62473	0.02168
0.59522	0.02293
0.56612	0.02409
0.53746	0.02516
0.50928	0.02613
0.48161	0.02700
0.45447	0.02776
0.42788	0.02842
0.40189	0.02896
0.37651	0.02940
0.35177	0.02972
0.32770	0.02992
0.30432	0.03000
0.28165	0.02997
0.25972	0.02981
0.23855	0.02954
0.21817	0.02915
0.19859	0.02865
0.17983	0.02803
0.16191	0.02730
0.14486	0.02646
0.12868	0.02551
0.11340	0.02447
0.09903	0.02333
0.08559	0.02210
0.07308	0.02079
0.06153	0.01939
0.05094	0.01792
0.04133	0.01637
0.03271	0.01476
0.02507	0.01309
0.01844	0.01136
0.01282	0.00958
0.00821	0.00775
0.00462	0.00588
0.00205	0.00396
0.00051	0.00200
0.00000	0.00000
0.00051	-0.00200
0.00205	-0.00396
0.00462	-0.00588
0.00821	-0.00775
0.01282	-0.00958
0.01844	-0.01136
0.02507	-0.01309
0.03271	-0.01476
0.04133	-0.01637
0.05094	-0.01792
0.06153	-0.01939
0.07308	-0.02079
0.08559	-0.02210
0.09903	-0.02333
0.11340	-0.02447
0.12868	-0.02551
0.14486	-0.02646
0.16191	-0.02730
0.17983	-0.02803
0.19859	-0.02865
0.21817	-0.02915
0.23855	-0.02954
0.25972	-0.02981
0.28165	-0.02997
0.30432	-0.03000
0.32770	-0.02992
0.35177	-0.02972
0.37651	-0.02940
0.40189	-0.02896
0.42788	-0.02842
0.45447	-0.02776
0.48161	-0.02700
0.50928	-0.02613
0.53746	-0.02516
0.56612	-0.02409
0.59522	-0.02293
0.62473	-0.02168
0.65463	-0.02034
0.68489	-0.01891
0.71547	-0.01739
0.74635	-0.01580
0.77748	-0.01412
0.80884	-0.01235
0.84040	-0.01051
0.87212	-0.00858
0.90398	-0.00657
0.93593	-0.00447
0.96795	-0.00228
1.00000	0.00000
