NACA 2412	
1.00000	0.00000
0.96824	0.00663
0.93646	0.01297
0.90471	0.01901
0.87302	0.02476
0.84143	0.03022
0.80996	0.03540
0.77866	0.04029
0.74756	0.04490
0.71669	0.04924
0.68609	0.05329
0.65579	0.05706
0.62582	0.06054
0.59621	0.06374
0.56701	0.06665
0.53823	0.06927
0.50992	0.07159
0.48210	0.07362
0.45480	0.07536
0.42806	0.07679
0.40190	0.07793
0.37616	0.07872
0.35106	0.07913
0.32662	0.07917
0.30288	0.07884
0.27988	0.07816
0.25763	0.07713
0.23617	0.07578
0.21552	0.07411
0.19571	0.07215
0.17675	0.06991
0.15867	0.06741
0.14149	0.06467
0.12523	0.06171
0.10990	0.05855
0.09553	0.05521
0.08212	0.05171
0.06970	0.04807
0.05826	0.04432
0.04783	0.04047
0.03841	0.03653
0.03001	0.03254
0.02263	0.02850
0.01628	0.02442
0.01097	0.02034
0.00670	0.01625
0.00346	0.01216
0.00127	0.00808
0.00012	0.00403
0.00000	0.00000
0.00091	-0.00393
0.00284	-0.00767
0.00578	-0.01124
0.00972	-0.01462
0.01466	-0.01781
0.02060	-0.02082
0.02752	-0.02364
0.03540	-0.02626
0.04426	-0.02869
0.05406	-0.03093
0.06480	-0.03296
0.07647	-0.03479
0.08905	-0.03642
0.10253	-0.03785
0.11690	-0.03908
0.13213	-0.04011
0.14823	-0.04094
0.16516	-0.04158
0.18291	-0.04203
0.20147	-0.04229
0.22082	-0.04238
0.24094	-0.04229
0.26181	-0.04205
0.28342	-0.04166
0.30575	-0.04113
0.32878	-0.04048
0.35249	-0.03972
0.37686	-0.03886
0.40188	-0.03793
0.42771	-0.03688
0.45413	-0.03569
0.48112	-0.03436
0.50865	-0.03292
0.53669	-0.03137
0.56523	-0.02971
0.59422	-0.02797
0.62365	-0.02615
0.65348	-0.02426
0.68370	-0.02231
0.71425	-0.02029
0.74513	-0.01823
0.77630	-0.01612
0.80772	-0.01397
0.83937	-0.01177
0.87122	-0.00952
0.90324	-0.00723
0.93540	-0.00488
0.96766	-0.00248
1.00000	0.00000
