NACA 0009	
1.00000	0.00000
0.96795	0.00342
0.93593	0.00671
0.90398	0.00985
0.87212	0.01287
0.84040	0.01576
0.80884	0.01853
0.77748	0.02117
0.74635	0.02369
0.71547	0.02609
0.68489	0.02836
0.65463	0.03051
0.62473	0.03252
0.59522	0.03440
0.56612	0.03614
0.53746	0.03774
0.50928	0.03920
0.48161	0.04050
0.45447	0.04164
0.42788	0.04263
0.40189	0.04344
0.37651	0.04409
0.35177	0.04457
0.32770	0.04488
0.30432	0.04500
0.28165	0.04495
0.25972	0.04472
0.23855	0.04431
0.21817	0.04373
0.19859	0.04297
0.17983	0.04204
0.16191	0.04094
0.14486	0.03969
0.12868	0.03827
0.11340	0.03671
0.09903	0.03500
0.08559	0.03315
0.07308	0.03118
0.06153	0.02908
0.05094	0.02687
0.04133	0.02456
0.03271	0.02214
0.02507	0.01964
0.01844	0.01704
0.01282	0.01437
0.00821	0.01163
0.00462	0.00882
0.00205	0.00594
0.00051	0.00300
0.00000	0.00000
0.00051	-0.00300
0.00205	-0.00594
0.00462	-0.00882
0.00821	-0.01163
0.01282	-0.01437
0.01844	-0.01704
0.02507	-0.01964
0.03271	-0.02214
0.04133	-0.02456
0.05094	-0.02687
0.06153	-0.02908
0.07308	-0.03118
0.08559	-0.03315
0.09903	-0.03500
0.11340	-0.03671
0.12868	-0.03827
0.14486	-0.03969
0.16191	-0.04094
0.17983	-0.04204
0.19859	-0.04297
0.21817	-0.04373
0.23855	-0.04431
0.25972	-0.04472
0.28165	-0.04495
0.30432	-0.04500
0.32770	-0.04488
0.35177	-0.04457
0.37651	-0.04409
0.40189	-0.04344
0.42788	-0.04263
0.45447	-0.04164
0.48161	-0.04050
0.50928	-0.03920
0.53746	-0.03774
0.56612	-0.03614
0.59522	-0.03440
0.62473	-0.03252
0.65463	-0.03051
0.68489	-0.02836
0.71547	-0.02609
0.74635	-0.02369
0.77748	-0.02117
0.80884	-0.01853
0.84040	-0.01576
0.87212	-0.01287
0.90398	-0.00985
0.93593	-0.00671
0.96795	-0.00342
1.00000	0.00000
