NACA 0015	
1.00000	0.00000
0.96795	0.00570
0.93593	0.01118
0.90398	0.01642
0.87212	0.02145
0.84040	0.02627
0.80884	0.03088
0.77748	0.03529
0.74635	0.03949
0.71547	0.04348
0.68489	0.04727
0.65463	0.05084
0.62473	0.05420
0.59522	0.05733
0.56612	0.06024
0.53746	0.06290
0.50928	0.06533
0.48161	0.06749
0.45447	0.06940
0.42788	0.07104
0.40189	0.07241
0.37651	0.07349
0.35177	0.07429
0.32770	0.07479
0.30432	0.07500
0.28165	0.07492
0.25972	0.07453
0.23855	0.07385
0.21817	0.07288
0.19859	0.07161
0.17983	0.07007
0.16191	0.06824
0.14486	0.06614
0.12868	0.06378
0.11340	0.06118
0.09903	0.05833
0.08559	0.05525
0.07308	0.05196
0.06153	0.04847
0.05094	0.04479
0.04133	0.04093
0.03271	0.03690
0.02507	0.03273
0.01844	0.02841
0.01282	0.02396
0.00821	0.01938
0.00462	0.01469
0.00205	0.00990
0.00051	0.00500
0.00000	0.00000
0.00051	-0.00500
0.00205	-0.00990
0.00462	-0.01469
0.00821	-0.01938
0.01282	-0.02396
0.01844	-0.02841
0.02507	-0.03273
0.03271	-0.03690
0.04133	-0.04093
0.05094	-0.04479
0.06153	-0.04847
0.07308	-0.05196
0.08559	-0.05525
0.09903	-0.05833
0.11340	-0.06118
0.12868	-0.06378
0.14486	-0.06614
0.16191	-0.06824
0.17983	-0.07007
0.19859	-0.07161
0.21817	-0.07288
0.23855	-0.07385
0.25972	-0.07453
0.28165	-0.07492
0.30432	-0.07500
0.32770	-0.07479
0.35177	-0.07429
0.37651	-0.07349
0.40189	-0.07241
0.42788	-0.07104
0.45447	-0.06940
0.48161	-0.06749
0.50928	-0.06533
0.53746	-0.06290
0.56612	-0.06024
0.59522	-0.05733
0.62473	-0.05420
0.65463	-0.05084
0.68489	-0.04727
0.71547	-0.04348
0.74635	-0.03949
0.77748	-0.03529
0.80884	-0.03088
0.84040	-0.02627
0.87212	-0.02145
0.90398	-0.01642
0.93593	-0.01118
0.96795	-0.00570
1.00000	0.00000
