NACA 2409	
1.00000	0.00000
0.96816	0.00550
0.93633	0.01074
0.90453	0.01573
0.87280	0.02047
0.84117	0.02497
0.80968	0.02923
0.77837	0.03324
0.74726	0.03701
0.71639	0.04055
0.68579	0.04384
0.65550	0.04689
0.62554	0.04970
0.59596	0.05227
0.56678	0.05460
0.53804	0.05669
0.50976	0.05853
0.48197	0.06012
0.45472	0.06148
0.42802	0.06258
0.40190	0.06344
0.37625	0.06403
0.35123	0.06428
0.32689	0.06421
0.30324	0.06384
0.28032	0.06318
0.25815	0.06223
0.23677	0.06102
0.21618	0.05955
0.19643	0.05784
0.17752	0.05592
0.15948	0.05379
0.14233	0.05147
0.12609	0.04898
0.11078	0.04634
0.09641	0.04358
0.08299	0.04069
0.07054	0.03772
0.05908	0.03466
0.04861	0.03154
0.03914	0.02838
0.03068	0.02519
0.02324	0.02198
0.01682	0.01877
0.01143	0.01557
0.00708	0.01239
0.00375	0.00923
0.00147	0.00611
0.00022	0.00304
0.00000	0.00000
0.00081	-0.00293
0.00264	-0.00570
0.00549	-0.00831
0.00934	-0.01076
0.01420	-0.01305
0.02006	-0.01517
0.02690	-0.01712
0.03473	-0.01891
0.04353	-0.02054
0.05328	-0.02200
0.06398	-0.02330
0.07562	-0.02443
0.08819	-0.02541
0.10166	-0.02622
0.11602	-0.02688
0.13127	-0.02738
0.14738	-0.02774
0.16434	-0.02796
0.18214	-0.02804
0.20075	-0.02798
0.22015	-0.02781
0.24034	-0.02753
0.26129	-0.02715
0.28298	-0.02668
0.30539	-0.02613
0.32851	-0.02552
0.35231	-0.02486
0.37677	-0.02416
0.40188	-0.02344
0.42775	-0.02267
0.45421	-0.02181
0.48124	-0.02086
0.50881	-0.01986
0.53689	-0.01879
0.56545	-0.01767
0.59447	-0.01651
0.62392	-0.01532
0.65377	-0.01410
0.68399	-0.01286
0.71456	-0.01160
0.74543	-0.01034
0.77659	-0.00907
0.80800	-0.00780
0.83963	-0.00652
0.87145	-0.00524
0.90343	-0.00395
0.93553	-0.00265
0.96773	-0.00134
1.00000	0.00000
