NACA 2406	
1.00000	0.00000
0.96809	0.00436
0.93620	0.00851
0.90434	0.01245
0.87257	0.01619
0.84091	0.01972
0.80940	0.02305
0.77807	0.02619
0.74695	0.02912
0.71608	0.03185
0.68549	0.03439
0.65521	0.03673
0.62527	0.03887
0.59571	0.04081
0.56656	0.04256
0.53785	0.04411
0.50960	0.04546
0.48185	0.04663
0.45463	0.04760
0.42797	0.04837
0.40190	0.04896
0.37634	0.04933
0.35141	0.04942
0.32716	0.04926
0.30360	0.04885
0.28076	0.04820
0.25868	0.04733
0.23736	0.04626
0.21684	0.04499
0.19715	0.04354
0.17829	0.04192
0.16029	0.04016
0.14317	0.03827
0.12695	0.03625
0.11165	0.03414
0.09728	0.03194
0.08386	0.02968
0.07139	0.02736
0.05990	0.02500
0.04939	0.02262
0.03987	0.02023
0.03136	0.01784
0.02385	0.01546
0.01736	0.01311
0.01189	0.01080
0.00745	0.00853
0.00404	0.00631
0.00166	0.00414
0.00032	0.00204
0.00000	0.00000
0.00071	-0.00194
0.00245	-0.00373
0.00520	-0.00539
0.00897	-0.00690
0.01374	-0.00828
0.01952	-0.00951
0.02629	-0.01061
0.03405	-0.01156
0.04279	-0.01239
0.05250	-0.01308
0.06317	-0.01364
0.07478	-0.01408
0.08732	-0.01439
0.10078	-0.01459
0.11515	-0.01468
0.13041	-0.01466
0.14654	-0.01454
0.16353	-0.01433
0.18137	-0.01404
0.20003	-0.01368
0.21949	-0.01325
0.23975	-0.01277
0.26077	-0.01225
0.28254	-0.01170
0.30503	-0.01114
0.32824	-0.01057
0.35213	-0.01000
0.37668	-0.00946
0.40188	-0.00896
0.42780	-0.00846
0.45430	-0.00793
0.48136	-0.00737
0.50897	-0.00679
0.53708	-0.00621
0.56567	-0.00562
0.59472	-0.00505
0.62419	-0.00448
0.65406	-0.00393
0.68429	-0.00341
0.71486	-0.00291
0.74574	-0.00245
0.77689	-0.00202
0.80828	-0.00163
0.83989	-0.00127
0.87167	-0.00095
0.90361	-0.00067
0.93566	-0.00042
0.96780	-0.00020
1.00000	0.00000
