NACA 4415	
1.00000	0.00000
0.96866	0.00982
0.93725	0.01918
0.90580	0.02810
0.87436	0.03657
0.84296	0.04460
0.81164	0.05219
0.78043	0.05933
0.74938	0.06604
0.71851	0.07232
0.68788	0.07816
0.65751	0.08356
0.62744	0.08852
0.59770	0.09304
0.56834	0.09713
0.53938	0.10077
0.51087	0.10398
0.48283	0.10674
0.45531	0.10907
0.42832	0.11096
0.40192	0.11241
0.37565	0.11335
0.34998	0.11368
0.32500	0.11344
0.30073	0.11263
0.27723	0.11128
0.25451	0.10943
0.23261	0.10710
0.21157	0.10431
0.19141	0.10111
0.17216	0.09753
0.15385	0.09359
0.13649	0.08934
0.12011	0.08480
0.10472	0.08002
0.09035	0.07503
0.07701	0.06987
0.06470	0.06456
0.05344	0.05915
0.04324	0.05366
0.03411	0.04813
0.02604	0.04257
0.01904	0.03702
0.01312	0.03151
0.00826	0.02604
0.00448	0.02065
0.00177	0.01533
0.00012	0.01012
-0.00047	0.00500
0.00000	0.00000
0.00149	-0.00480
0.00399	-0.00930
0.00747	-0.01350
0.01194	-0.01740
0.01737	-0.02100
0.02376	-0.02430
0.03110	-0.02731
0.03937	-0.03002
0.04856	-0.03245
0.05864	-0.03458
0.06962	-0.03643
0.08147	-0.03800
0.09417	-0.03930
0.10771	-0.04033
0.12208	-0.04109
0.13726	-0.04161
0.15323	-0.04188
0.16998	-0.04193
0.18749	-0.04176
0.20576	-0.04140
0.22477	-0.04084
0.24450	-0.04013
0.26494	-0.03927
0.28608	-0.03829
0.30790	-0.03721
0.33040	-0.03605
0.35356	-0.03485
0.37737	-0.03362
0.40186	-0.03241
0.42744	-0.03113
0.45363	-0.02973
0.48038	-0.02822
0.50770	-0.02663
0.53554	-0.02497
0.56389	-0.02326
0.59273	-0.02151
0.62203	-0.01974
0.65176	-0.01797
0.68191	-0.01619
0.71243	-0.01444
0.74332	-0.01270
0.77453	-0.01100
0.80605	-0.00933
0.83784	-0.00770
0.86988	-0.00610
0.90215	-0.00454
0.93461	-0.00301
0.96723	-0.00150
1.00000	0.00000
