NACA 4412	
1.00000	0.00000
0.96852	0.00869
0.93699	0.01697
0.90544	0.02484
0.87391	0.03230
0.84245	0.03937
0.81108	0.04603
0.77984	0.05230
0.74877	0.05817
0.71791	0.06364
0.68728	0.06872
0.65693	0.07341
0.62690	0.07769
0.59720	0.08159
0.56789	0.08509
0.53900	0.08820
0.51055	0.09092
0.48259	0.09325
0.45514	0.09519
0.42824	0.09675
0.40191	0.09793
0.37582	0.09865
0.35034	0.09883
0.32554	0.09849
0.30145	0.09764
0.27811	0.09633
0.25555	0.09456
0.23380	0.09237
0.21289	0.08980
0.19285	0.08686
0.17369	0.08360
0.15546	0.08004
0.13816	0.07621
0.12182	0.07216
0.10646	0.06791
0.09209	0.06350
0.07872	0.05895
0.06638	0.05431
0.05506	0.04959
0.04478	0.04484
0.03555	0.04007
0.02737	0.03531
0.02025	0.03059
0.01418	0.02593
0.00918	0.02134
0.00523	0.01684
0.00234	0.01245
0.00051	0.00818
-0.00027	0.00402
0.00000	0.00000
0.00130	-0.00382
0.00360	-0.00736
0.00690	-0.01061
0.01119	-0.01359
0.01646	-0.01629
0.02270	-0.01872
0.02990	-0.02088
0.03804	-0.02276
0.04711	-0.02439
0.05710	-0.02576
0.06800	-0.02687
0.07979	-0.02775
0.09245	-0.02838
0.10598	-0.02879
0.12034	-0.02898
0.13554	-0.02897
0.15155	-0.02876
0.16837	-0.02838
0.18596	-0.02783
0.20433	-0.02714
0.22345	-0.02633
0.24331	-0.02541
0.26389	-0.02440
0.28519	-0.02333
0.30718	-0.02222
0.32986	-0.02110
0.35320	-0.01999
0.37720	-0.01893
0.40187	-0.01793
0.42753	-0.01692
0.45379	-0.01585
0.48063	-0.01473
0.50801	-0.01357
0.53593	-0.01240
0.56434	-0.01122
0.59323	-0.01006
0.62257	-0.00892
0.65234	-0.00781
0.68250	-0.00676
0.71304	-0.00576
0.74392	-0.00483
0.77512	-0.00397
0.80661	-0.00318
0.83835	-0.00247
0.87033	-0.00184
0.90251	-0.00128
0.93487	-0.00079
0.96738	-0.00037
1.00000	0.00000
