NACA 4418	
1.00000	0.00000
0.96881	0.01095
0.93752	0.02140
0.90617	0.03137
0.87481	0.04084
0.84347	0.04983
0.81219	0.05834
0.78102	0.06637
0.74998	0.07392
0.71912	0.08099
0.68848	0.08759
0.65808	0.09371
0.62798	0.09935
0.59820	0.10450
0.56878	0.10917
0.53977	0.11335
0.51119	0.11704
0.48308	0.12024
0.45547	0.12295
0.42841	0.12516
0.40193	0.12689
0.37547	0.12805
0.34962	0.12854
0.32446	0.12839
0.30002	0.12761
0.27634	0.12624
0.25346	0.12430
0.23142	0.12182
0.21025	0.11883
0.18998	0.11536
0.17063	0.11145
0.15223	0.10714
0.13481	0.10246
0.11839	0.09744
0.10299	0.09213
0.08862	0.08657
0.07529	0.08079
0.06302	0.07482
0.05183	0.06871
0.04170	0.06249
0.03266	0.05618
0.02471	0.04983
0.01784	0.04346
0.01205	0.03709
0.00735	0.03075
0.00374	0.02445
0.00120	0.01822
-0.00026	0.01206
-0.00066	0.00598
0.00000	0.00000
0.00169	-0.00578
0.00437	-0.01124
0.00804	-0.01638
0.01268	-0.02120
0.01828	-0.02570
0.02483	-0.02988
0.03231	-0.03374
0.04070	-0.03728
0.05000	-0.04050
0.06018	-0.04341
0.07124	-0.04599
0.08314	-0.04826
0.09588	-0.05021
0.10945	-0.05186
0.12381	-0.05320
0.13897	-0.05425
0.15490	-0.05501
0.17159	-0.05548
0.18903	-0.05569
0.20720	-0.05565
0.22609	-0.05536
0.24568	-0.05485
0.26598	-0.05414
0.28696	-0.05324
0.30862	-0.05219
0.33094	-0.05100
0.35392	-0.04970
0.37755	-0.04832
0.40185	-0.04689
0.42736	-0.04534
0.45346	-0.04361
0.48014	-0.04172
0.50738	-0.03969
0.53516	-0.03755
0.56345	-0.03530
0.59223	-0.03297
0.62149	-0.03057
0.65119	-0.02812
0.68131	-0.02563
0.71182	-0.02311
0.74271	-0.02058
0.77394	-0.01803
0.80549	-0.01548
0.83733	-0.01293
0.86944	-0.01037
0.90178	-0.00781
0.93434	-0.00523
0.96709	-0.00263
1.00000	0.00000
