NACA 23015	
1.00000	0.00000
0.96807	0.00641
0.93618	0.01259
0.90434	0.01854
0.87260	0.02427
0.84098	0.02979
0.80952	0.03510
0.77826	0.04019
0.74722	0.04508
0.71643	0.04976
0.68594	0.05422
0.65576	0.05846
0.62593	0.06247
0.59648	0.06626
0.56745	0.06980
0.53885	0.07310
0.51072	0.07615
0.48310	0.07893
0.45600	0.08143
0.42945	0.08366
0.40349	0.08560
0.37813	0.08724
0.35341	0.08858
0.32935	0.08962
0.30597	0.09035
0.28330	0.09076
0.26137	0.09086
0.24018	0.09065
0.21978	0.09013
0.20016	0.08929
0.18109	0.08814
0.16252	0.08657
0.14456	0.08452
0.12732	0.08194
0.11088	0.07882
0.09534	0.07516
0.08080	0.07099
0.06732	0.06635
0.05498	0.06130
0.04382	0.05592
0.03388	0.05028
0.02519	0.04447
0.01776	0.03858
0.01160	0.03266
0.00668	0.02681
0.00300	0.02107
0.00052	0.01549
-0.00078	0.01010
-0.00094	0.00494
0.00000	0.00000
0.00197	-0.00463
0.00489	-0.00886
0.00872	-0.01274
0.01342	-0.01627
0.01895	-0.01951
0.02528	-0.02248
0.03238	-0.02523
0.04022	-0.02779
0.04878	-0.03021
0.05807	-0.03252
0.06809	-0.03475
0.07884	-0.03694
0.09037	-0.03910
0.10272	-0.04126
0.11592	-0.04343
0.13005	-0.04560
0.14515	-0.04777
0.16130	-0.04991
0.17857	-0.05197
0.19701	-0.05390
0.21656	-0.05559
0.23692	-0.05702
0.25808	-0.05817
0.28000	-0.05903
0.30266	-0.05962
0.32605	-0.05993
0.35013	-0.05995
0.37489	-0.05970
0.40029	-0.05918
0.42631	-0.05839
0.45293	-0.05734
0.48012	-0.05603
0.50784	-0.05447
0.53607	-0.05267
0.56479	-0.05064
0.59395	-0.04838
0.62354	-0.04590
0.65351	-0.04320
0.68385	-0.04030
0.71451	-0.03719
0.74547	-0.03388
0.77670	-0.03037
0.80816	-0.02666
0.83982	-0.02274
0.87165	-0.01863
0.90361	-0.01430
0.93568	-0.00976
0.96782	-0.00500
1.00000	0.00000
