NACA 23115	
1.00000	0.00000
0.96798	0.00583
0.93602	0.01151
0.90414	0.01705
0.87239	0.02244
0.84079	0.02769
0.80936	0.03280
0.77814	0.03775
0.74715	0.04256
0.71644	0.04721
0.68601	0.05170
0.65592	0.05601
0.62617	0.06014
0.59681	0.06407
0.56786	0.06780
0.53935	0.07130
0.51130	0.07458
0.48375	0.07761
0.45672	0.08039
0.43023	0.08290
0.40432	0.08513
0.37901	0.08707
0.35433	0.08871
0.33030	0.09005
0.30694	0.09108
0.28429	0.09179
0.26236	0.09218
0.24117	0.09225
0.22075	0.09199
0.20093	0.09142
0.18155	0.09043
0.16270	0.08895
0.14448	0.08691
0.12701	0.08428
0.11039	0.08105
0.09470	0.07723
0.08004	0.07286
0.06648	0.06800
0.05409	0.06272
0.04291	0.05710
0.03299	0.05123
0.02434	0.04520
0.01697	0.03911
0.01089	0.03302
0.00607	0.02702
0.00249	0.02117
0.00013	0.01551
-0.00104	0.01009
-0.00107	0.00491
0.00000	0.00000
0.00210	-0.00457
0.00515	-0.00872
0.00911	-0.01247
0.01393	-0.01587
0.01957	-0.01895
0.02600	-0.02175
0.03317	-0.02431
0.04107	-0.02668
0.04968	-0.02891
0.05898	-0.03102
0.06898	-0.03307
0.07969	-0.03508
0.09114	-0.03709
0.10336	-0.03910
0.11641	-0.04115
0.13035	-0.04324
0.14523	-0.04537
0.16113	-0.04752
0.17811	-0.04966
0.19624	-0.05174
0.21559	-0.05367
0.23594	-0.05537
0.25709	-0.05680
0.27901	-0.05795
0.30169	-0.05884
0.32510	-0.05944
0.34921	-0.05977
0.37401	-0.05983
0.39946	-0.05961
0.42554	-0.05911
0.45222	-0.05834
0.47947	-0.05731
0.50727	-0.05601
0.53558	-0.05445
0.56437	-0.05263
0.59362	-0.05055
0.62329	-0.04822
0.65335	-0.04564
0.68377	-0.04281
0.71451	-0.03973
0.74554	-0.03640
0.77682	-0.03281
0.80832	-0.02896
0.84001	-0.02485
0.87185	-0.02046
0.90381	-0.01580
0.93584	-0.01084
0.96792	-0.00558
1.00000	0.00000
