NACA 23112	
1.00000	0.00000
0.96797	0.00469
0.93600	0.00928
0.90411	0.01377
0.87234	0.01815
0.84071	0.02244
0.80925	0.02662
0.77801	0.03070
0.74699	0.03467
0.71624	0.03852
0.68579	0.04225
0.65566	0.04584
0.62588	0.04930
0.59649	0.05261
0.56751	0.05575
0.53897	0.05873
0.51090	0.06152
0.48332	0.06412
0.45627	0.06652
0.42976	0.06870
0.40384	0.07066
0.37851	0.07238
0.35382	0.07386
0.32978	0.07510
0.30642	0.07609
0.28376	0.07681
0.26183	0.07728
0.24065	0.07748
0.22023	0.07743
0.20046	0.07710
0.18120	0.07642
0.16254	0.07530
0.14456	0.07369
0.12735	0.07153
0.11099	0.06883
0.09557	0.06560
0.08115	0.06187
0.06780	0.05769
0.05558	0.05314
0.04452	0.04829
0.03466	0.04322
0.02601	0.03802
0.01859	0.03277
0.01240	0.02754
0.00742	0.02242
0.00364	0.01746
0.00103	0.01271
-0.00042	0.00820
-0.00076	0.00396
0.00000	0.00000
0.00178	-0.00362
0.00453	-0.00684
0.00821	-0.00968
0.01278	-0.01217
0.01822	-0.01435
0.02448	-0.01627
0.03155	-0.01797
0.03940	-0.01949
0.04801	-0.02089
0.05737	-0.02221
0.06749	-0.02349
0.07837	-0.02477
0.09003	-0.02609
0.10250	-0.02747
0.11581	-0.02893
0.13001	-0.03049
0.14516	-0.03214
0.16128	-0.03387
0.17845	-0.03565
0.19671	-0.03742
0.21610	-0.03910
0.23646	-0.04060
0.25762	-0.04190
0.27954	-0.04298
0.30222	-0.04385
0.32562	-0.04449
0.34972	-0.04493
0.37451	-0.04514
0.39994	-0.04513
0.42600	-0.04491
0.45267	-0.04447
0.47990	-0.04382
0.50767	-0.04295
0.53595	-0.04187
0.56472	-0.04058
0.59394	-0.03909
0.62358	-0.03739
0.65361	-0.03548
0.68399	-0.03336
0.71470	-0.03104
0.74570	-0.02850
0.77695	-0.02576
0.80843	-0.02279
0.84009	-0.01960
0.87191	-0.01617
0.90384	-0.01251
0.93586	-0.00860
0.96792	-0.00444
1.00000	0.00000
