NACA 23109	
1.00000	0.00000
0.96797	0.00355
0.93598	0.00704
0.90408	0.01048
0.87228	0.01386
0.84063	0.01718
0.80915	0.02044
0.77787	0.02364
0.74683	0.02677
0.71605	0.02982
0.68557	0.03280
0.65540	0.03568
0.62560	0.03847
0.59617	0.04115
0.56716	0.04371
0.53859	0.04615
0.51049	0.04846
0.48289	0.05063
0.45582	0.05264
0.42929	0.05450
0.40335	0.05618
0.37801	0.05769
0.35331	0.05902
0.32926	0.06015
0.30589	0.06109
0.28323	0.06184
0.26130	0.06238
0.24012	0.06272
0.21972	0.06286
0.19999	0.06279
0.18086	0.06241
0.16238	0.06166
0.14463	0.06046
0.12768	0.05878
0.11159	0.05661
0.09643	0.05397
0.08226	0.05087
0.06912	0.04739
0.05707	0.04356
0.04612	0.03948
0.03633	0.03520
0.02769	0.03083
0.02021	0.02642
0.01391	0.02207
0.00877	0.01783
0.00478	0.01376
0.00193	0.00991
0.00020	0.00632
-0.00044	0.00302
0.00000	0.00000
0.00147	-0.00267
0.00391	-0.00496
0.00731	-0.00688
0.01164	-0.00846
0.01687	-0.00976
0.02297	-0.01079
0.02993	-0.01163
0.03772	-0.01231
0.04634	-0.01288
0.05576	-0.01340
0.06600	-0.01391
0.07704	-0.01447
0.08892	-0.01510
0.10163	-0.01584
0.11521	-0.01671
0.12968	-0.01774
0.14508	-0.01891
0.16144	-0.02022
0.17880	-0.02164
0.19718	-0.02311
0.21662	-0.02454
0.23699	-0.02584
0.25814	-0.02700
0.28007	-0.02801
0.30274	-0.02885
0.32614	-0.02954
0.35024	-0.03008
0.37501	-0.03045
0.40043	-0.03066
0.42647	-0.03071
0.45312	-0.03060
0.48032	-0.03032
0.50807	-0.02989
0.53633	-0.02930
0.56507	-0.02854
0.59426	-0.02763
0.62387	-0.02655
0.65387	-0.02531
0.68422	-0.02391
0.71489	-0.02234
0.74586	-0.02061
0.77708	-0.01870
0.80853	-0.01661
0.84017	-0.01434
0.87196	-0.01188
0.90388	-0.00923
0.93588	-0.00637
0.96793	-0.00329
1.00000	0.00000
