NACA 23009	
1.00000	0.00000
0.96802	0.00413
0.93608	0.00812
0.90419	0.01197
0.87241	0.01569
0.84075	0.01928
0.80925	0.02275
0.77795	0.02608
0.74687	0.02929
0.71605	0.03237
0.68552	0.03531
0.65531	0.03813
0.62545	0.04080
0.59598	0.04333
0.56691	0.04572
0.53829	0.04795
0.51015	0.05002
0.48250	0.05193
0.45538	0.05368
0.42882	0.05525
0.40285	0.05664
0.37748	0.05785
0.35276	0.05888
0.32869	0.05971
0.30531	0.06035
0.28264	0.06080
0.26071	0.06106
0.23953	0.06112
0.21913	0.06098
0.19953	0.06066
0.18058	0.06011
0.16228	0.05927
0.14468	0.05806
0.12786	0.05643
0.11189	0.05437
0.09682	0.05188
0.08271	0.04897
0.06963	0.04569
0.05760	0.04209
0.04667	0.03823
0.03686	0.03418
0.02820	0.03002
0.02069	0.02582
0.01433	0.02164
0.00914	0.01755
0.00508	0.01360
0.00216	0.00984
0.00036	0.00631
-0.00036	0.00303
0.00000	0.00000
0.00138	-0.00271
0.00375	-0.00507
0.00708	-0.00709
0.01134	-0.00880
0.01650	-0.01024
0.02255	-0.01145
0.02946	-0.01246
0.03721	-0.01334
0.04580	-0.01411
0.05522	-0.01483
0.06546	-0.01554
0.07654	-0.01628
0.08846	-0.01708
0.10124	-0.01798
0.11491	-0.01898
0.12950	-0.02009
0.14503	-0.02131
0.16155	-0.02261
0.17907	-0.02395
0.19764	-0.02526
0.21720	-0.02645
0.23758	-0.02748
0.25873	-0.02836
0.28066	-0.02907
0.30332	-0.02963
0.32671	-0.03002
0.35079	-0.03025
0.37554	-0.03031
0.40093	-0.03023
0.42694	-0.02998
0.45355	-0.02958
0.48071	-0.02904
0.50842	-0.02835
0.53663	-0.02752
0.56532	-0.02655
0.59446	-0.02545
0.62402	-0.02422
0.65396	-0.02287
0.68427	-0.02140
0.71490	-0.01980
0.74582	-0.01809
0.77701	-0.01625
0.80843	-0.01430
0.84005	-0.01224
0.87184	-0.01005
0.90376	-0.00773
0.93578	-0.00529
0.96787	-0.00271
1.00000	0.00000
