NACA 23012	
1.00000	0.00000
0.96805	0.00527
0.93613	0.01035
0.90427	0.01526
0.87250	0.01998
0.84086	0.02454
0.80939	0.02892
0.77810	0.03314
0.74704	0.03719
0.71624	0.04106
0.68573	0.04477
0.65553	0.04829
0.62569	0.05164
0.59623	0.05479
0.56718	0.05776
0.53857	0.06053
0.51044	0.06308
0.48280	0.06543
0.45569	0.06756
0.42914	0.06946
0.40317	0.07112
0.37781	0.07255
0.35308	0.07373
0.32902	0.07467
0.30564	0.07535
0.28297	0.07578
0.26104	0.07596
0.23986	0.07588
0.21946	0.07555
0.19984	0.07498
0.18084	0.07412
0.16240	0.07292
0.14462	0.07129
0.12759	0.06919
0.11138	0.06660
0.09608	0.06352
0.08176	0.05998
0.06847	0.05602
0.05629	0.05170
0.04524	0.04708
0.03537	0.04223
0.02669	0.03725
0.01923	0.03220
0.01297	0.02715
0.00791	0.02218
0.00404	0.01733
0.00134	0.01266
-0.00021	0.00821
-0.00065	0.00398
0.00000	0.00000
0.00167	-0.00367
0.00432	-0.00697
0.00790	-0.00991
0.01238	-0.01254
0.01773	-0.01488
0.02392	-0.01696
0.03092	-0.01885
0.03872	-0.02056
0.04729	-0.02216
0.05665	-0.02367
0.06677	-0.02515
0.07769	-0.02661
0.08942	-0.02809
0.10198	-0.02962
0.11542	-0.03120
0.12977	-0.03284
0.14509	-0.03454
0.16142	-0.03626
0.17882	-0.03796
0.19733	-0.03958
0.21688	-0.04102
0.23725	-0.04225
0.25841	-0.04326
0.28033	-0.04405
0.30299	-0.04462
0.32638	-0.04497
0.35046	-0.04510
0.37521	-0.04501
0.40061	-0.04470
0.42663	-0.04419
0.45324	-0.04346
0.48042	-0.04253
0.50813	-0.04141
0.53635	-0.04010
0.56505	-0.03860
0.59420	-0.03692
0.62378	-0.03506
0.65374	-0.03304
0.68406	-0.03085
0.71470	-0.02850
0.74565	-0.02598
0.77686	-0.02331
0.80830	-0.02048
0.83994	-0.01749
0.87174	-0.01434
0.90369	-0.01102
0.93573	-0.00752
0.96785	-0.00385
1.00000	0.00000
