NACA 24015	
1.00000	0.00000
0.96810	0.00657
0.93623	0.01290
0.90442	0.01901
0.87270	0.02490
0.84111	0.03057
0.80968	0.03603
0.77843	0.04129
0.74741	0.04632
0.71665	0.05115
0.68617	0.05576
0.65601	0.06015
0.62620	0.06431
0.59676	0.06824
0.56774	0.07193
0.53916	0.07537
0.51105	0.07855
0.48343	0.08147
0.45634	0.08411
0.42980	0.08647
0.40384	0.08853
0.37849	0.09030
0.35378	0.09176
0.32972	0.09292
0.30634	0.09376
0.28366	0.09429
0.26151	0.09447
0.23990	0.09425
0.21889	0.09358
0.19853	0.09241
0.17890	0.09073
0.16004	0.08852
0.14202	0.08579
0.12490	0.08255
0.10873	0.07884
0.09356	0.07469
0.07945	0.07015
0.06642	0.06526
0.05451	0.06010
0.04375	0.05471
0.03414	0.04916
0.02572	0.04350
0.01847	0.03779
0.01239	0.03209
0.00749	0.02643
0.00374	0.02087
0.00114	0.01542
-0.00033	0.01012
-0.00070	0.00498
0.00000	0.00000
0.00173	-0.00472
0.00444	-0.00909
0.00810	-0.01313
0.01268	-0.01685
0.01815	-0.02028
0.02449	-0.02342
0.03168	-0.02631
0.03969	-0.02898
0.04852	-0.03143
0.05814	-0.03371
0.06855	-0.03582
0.07975	-0.03781
0.09173	-0.03968
0.10450	-0.04145
0.11807	-0.04316
0.13247	-0.04479
0.14770	-0.04638
0.16379	-0.04791
0.18076	-0.04939
0.19864	-0.05082
0.21745	-0.05217
0.23721	-0.05343
0.25794	-0.05455
0.27965	-0.05549
0.30229	-0.05619
0.32568	-0.05661
0.34977	-0.05676
0.37453	-0.05663
0.39993	-0.05623
0.42597	-0.05557
0.45259	-0.05465
0.47979	-0.05347
0.50752	-0.05205
0.53576	-0.05039
0.56449	-0.04850
0.59367	-0.04638
0.62327	-0.04405
0.65326	-0.04150
0.68362	-0.03874
0.71430	-0.03578
0.74528	-0.03263
0.77653	-0.02927
0.80801	-0.02571
0.83969	-0.02195
0.87154	-0.01799
0.90353	-0.01383
0.93563	-0.00944
0.96779	-0.00484
1.00000	0.00000
